dataset,model,from_raw,to_calibrated,n,share_of_flips
unsw_nb15_v2,xgb_5class_cw,Probe,R2L,1997,0.2014323179342344
unsw_nb15_v2,xgb_5class_cw,U2R,Normal,1,0.00010086746015735324
unsw_nb15_v2,xgb_5class_cw,U2R,DoS,3,0.0003026023804720597
unsw_nb15_v2,xgb_5class_cw,U2R,R2L,538,0.05426669356465604
unsw_nb15_v2,dnn_5class_cw,Normal,R2L,255,0.015809051456912585
unsw_nb15_v2,dnn_5class_cw,DoS,Normal,3,0.00018598884066955984
unsw_nb15_v2,dnn_5class_cw,DoS,R2L,10417,0.6458152510849349
unsw_nb15_v2,dnn_5class_cw,Probe,Normal,1,6.199628022318661e-05
unsw_nb15_v2,dnn_5class_cw,Probe,R2L,2206,0.13676379417234966
unsw_nb15_v2,dnn_5class_cw,U2R,Probe,19,0.0011779293242405455
unsw_nb15_v2,dnn_5class_cw,U2R,R2L,3229,0.20018598884066957
unsw_nb15_v2,rf_5class_smote,Normal,R2L,412,0.03464222651980156
unsw_nb15_v2,rf_5class_smote,DoS,Normal,2,0.00016816614815437652
unsw_nb15_v2,rf_5class_smote,DoS,Probe,21,0.0017657445556209534
unsw_nb15_v2,rf_5class_smote,DoS,R2L,7717,0.6488690826536618
unsw_nb15_v2,rf_5class_smote,Probe,Normal,271,0.022786513074918018
unsw_nb15_v2,rf_5class_smote,Probe,DoS,14,0.0011771630370806356
unsw_nb15_v2,rf_5class_smote,Probe,R2L,2005,0.16858656352476248
unsw_nb15_v2,rf_5class_smote,R2L,Normal,155,0.013032876481964181
unsw_nb15_v2,rf_5class_smote,U2R,Normal,1,8.408307407718826e-05
unsw_nb15_v2,rf_5class_smote,U2R,DoS,5,0.0004204153703859413
unsw_nb15_v2,rf_5class_smote,U2R,Probe,1,8.408307407718826e-05
unsw_nb15_v2,rf_5class_smote,U2R,R2L,1289,0.10838308248549566
unsw_nb15_v2,xgb_5class_smote,Normal,R2L,184,0.022775095927713825
unsw_nb15_v2,xgb_5class_smote,DoS,Normal,1,0.00012377769525931428
unsw_nb15_v2,xgb_5class_smote,DoS,Probe,15,0.001856665428889714
unsw_nb15_v2,xgb_5class_smote,DoS,R2L,5791,0.716796633246689
unsw_nb15_v2,xgb_5class_smote,Probe,Normal,58,0.007179106325040228
unsw_nb15_v2,xgb_5class_smote,Probe,R2L,1527,0.1890085406609729
unsw_nb15_v2,xgb_5class_smote,R2L,Normal,41,0.005074885505631885
unsw_nb15_v2,xgb_5class_smote,U2R,Normal,1,0.00012377769525931428
unsw_nb15_v2,xgb_5class_smote,U2R,DoS,2,0.00024755539051862855
unsw_nb15_v2,xgb_5class_smote,U2R,Probe,1,0.00012377769525931428
unsw_nb15_v2,xgb_5class_smote,U2R,R2L,458,0.05669018442876594
unsw_nb15_v2,dnn_5class_smote,Normal,R2L,43,0.002864947698047838
unsw_nb15_v2,dnn_5class_smote,DoS,Normal,3,0.0001998800719568259
unsw_nb15_v2,dnn_5class_smote,DoS,R2L,9863,0.6571390499033913
unsw_nb15_v2,dnn_5class_smote,Probe,Normal,451,0.03004863748417616
unsw_nb15_v2,dnn_5class_smote,Probe,R2L,1692,0.11273236058364981
unsw_nb15_v2,dnn_5class_smote,R2L,Normal,1053,0.0701579052568459
unsw_nb15_v2,dnn_5class_smote,U2R,Probe,9,0.0005996402158704777
unsw_nb15_v2,dnn_5class_smote,U2R,R2L,1895,0.1262575787860617
cic_ids2017_v2,rf_5class_cw,Normal,Probe,13,0.6190476190476191
cic_ids2017_v2,rf_5class_cw,Normal,R2L,3,0.14285714285714285
cic_ids2017_v2,rf_5class_cw,U2R,Normal,5,0.23809523809523808
cic_ids2017_v2,xgb_5class_cw,DoS,Normal,1,0.2
cic_ids2017_v2,xgb_5class_cw,R2L,Normal,4,0.8
cic_ids2017_v2,dnn_5class_cw,DoS,Normal,3378,0.4365469113466012
cic_ids2017_v2,dnn_5class_cw,Probe,Normal,227,0.029335745670715948
cic_ids2017_v2,dnn_5class_cw,R2L,Normal,3923,0.5069785474282761
cic_ids2017_v2,dnn_5class_cw,U2R,Normal,210,0.027138795554406823
cic_ids2017_v2,rf_5class_smote,Normal,Probe,7,0.7
cic_ids2017_v2,rf_5class_smote,DoS,Normal,3,0.3
cic_ids2017_v2,xgb_5class_smote,DoS,Normal,3,0.75
cic_ids2017_v2,xgb_5class_smote,R2L,Normal,1,0.25
cic_ids2017_v2,dnn_5class_smote,DoS,Normal,570,0.41424418604651164
cic_ids2017_v2,dnn_5class_smote,Probe,Normal,430,0.3125
cic_ids2017_v2,dnn_5class_smote,R2L,Normal,357,0.25944767441860467
cic_ids2017_v2,dnn_5class_smote,U2R,Normal,19,0.013808139534883721
