dataset,model,target_kind,rule,target,baseline_recall,final_recall,min_budget,frac_from_target_class_at_min,max_budget_tested,acc_delta,macro_f1_delta,ece_delta,tpcr,stealth_ok_at_min_budget,audit_acc_delta,audit_ece_delta
cic_ids2017_v2,dnn_5class_smote,stable,random,DoS,0.9830729166666666,0.22340029761904762,0.10000999850022496,0.6760809797550612,0.10000999850022496,-0.14492463818831713,-0.4452788151958183,0.06889764483179701,0.20341440247956608,False,-0.144753287006949,0.06696600082039186
cic_ids2017_v2,rf_5class_cw,fragile,block_greedy,DoS,0.9983258928571429,0.0,0.10000999850022496,1.0,0.10000999850022496,-0.13350163721348762,-0.20182172532460885,0.06857450792335858,0.13515134851401006,False,-0.13375493675948602,0.06900896247858197
cic_ids2017_v2,rf_5class_cw,fragile,block_greedy_stealth,DoS,0.9983258928571429,0.9983258928571429,,,0.0011248312753087038,-0.00014997375459291362,0.013226521579053352,0.0004638922613425145,7.498687729647311e-05,False,-0.0004249362595610817,0.0009553673117057764
cic_ids2017_v2,rf_5class_cw,fragile,highest_pt,DoS,0.9983258928571429,0.0,0.10000999850022496,1.0,0.10000999850022496,-0.13350163721348762,-0.20182172532460885,0.06857450792335858,0.13515134851401006,False,-0.13375493675948602,0.06900896247858197
cic_ids2017_v2,rf_5class_cw,fragile,random,DoS,0.9983258928571429,0.0,0.10000999850022496,0.6760809797550612,0.10000999850022496,-0.19269127902617034,-0.6615516137728689,0.09763264865069661,0.19444097282975478,False,-0.19267109933509974,0.09789882827438227
cic_ids2017_v2,rf_5class_cw,stable,block_greedy,Probe,0.9995551601423488,0.0,0.05024246363045543,0.9995024875621891,0.10000999850022496,-0.07221236283650356,-0.29078913508418747,0.11414920696408268,0.0739370610143225,False,-0.07133929910513426,0.11474489520962773
cic_ids2017_v2,rf_5class_cw,stable,block_greedy_stealth,Probe,0.9995551601423488,0.9942170818505338,,,0.0011248312753087038,-0.00014997375459291362,0.013226521579053352,0.0004638922613425145,7.498687729647311e-05,False,-0.0004249362595610817,0.0009553673117057764
cic_ids2017_v2,rf_5class_cw,stable,highest_pt,Probe,0.9995551601423488,0.0,0.05024246363045543,1.0,0.10000999850022496,-0.07221236283650356,-0.29078913508418747,0.11415296532490547,0.0739370610143225,False,-0.07133929910513426,0.1147561404504416
cic_ids2017_v2,rf_5class_cw,stable,random,Probe,0.9995551601423488,0.0,0.10000999850022496,0.2944263934016496,0.10000999850022496,-0.19269127902617034,-0.6615516137728689,0.09763264865069661,0.19444097282975478,False,-0.19267109933509974,0.09789882827438227
cic_ids2017_v2,rf_5class_smote,fragile,block_greedy,DoS,0.9985119047619048,0.0,0.10000999850022496,1.0,0.10000999850022496,-0.13365161096808065,-0.214781021011756,0.06876282841212353,0.1349763791336516,False,-0.13375493675948602,0.06898468748512156
cic_ids2017_v2,rf_5class_smote,fragile,block_greedy_stealth,DoS,0.9985119047619048,0.9985119047619048,,,0.0006249062640603909,-0.00012497812882750203,-0.00023867402424815332,0.00012723145515947218,7.498687729647311e-05,False,-9.998500224961404e-05,0.00047180721568334746
cic_ids2017_v2,rf_5class_smote,fragile,highest_pt,DoS,0.9985119047619048,0.0,0.10000999850022496,1.0,0.10000999850022496,-0.13365161096808065,-0.214781021011756,0.06881225334298353,0.1349763791336516,False,-0.13375493675948602,0.06898365830328963
cic_ids2017_v2,rf_5class_smote,fragile,random,DoS,0.9985119047619048,0.0,0.10000999850022496,0.6760809797550612,0.10000999850022496,-0.1926412877746394,-0.5278261872312408,0.09759144275627557,0.19486589846776814,False,-0.1929460580912863,0.09813678880181684
cic_ids2017_v2,rf_5class_smote,stable,block_greedy,Probe,0.9995551601423488,0.0,0.05024246363045543,0.9995024875621891,0.10000999850022496,-0.09363361411752946,-0.28313717231707725,0.10636831432014138,0.09585822481065813,False,-0.09256111583262505,0.10658232424209642
cic_ids2017_v2,rf_5class_smote,stable,block_greedy_stealth,Probe,0.9995551601423488,0.9968861209964412,,,0.0006249062640603909,-0.00012497812882750203,-0.00023867402424815332,0.00012723145515947218,7.498687729647311e-05,False,-9.998500224961404e-05,0.00047180721568334746
cic_ids2017_v2,rf_5class_smote,stable,highest_pt,Probe,0.9995551601423488,0.0,0.05024246363045543,1.0,0.10000999850022496,-0.09363361411752946,-0.28313717231707725,0.10636831432014138,0.09585822481065813,False,-0.09256111583262505,0.10658232424209642
cic_ids2017_v2,rf_5class_smote,stable,random,Probe,0.9995551601423488,0.0,0.10000999850022496,0.2944263934016496,0.10000999850022496,-0.1926412877746394,-0.5278261872312408,0.09759144275627557,0.19486589846776814,False,-0.1929460580912863,0.09813678880181684
cic_ids2017_v2,xgb_5class_cw,fragile,block_greedy,DoS,0.9996279761904762,0.0011160714285714285,0.10000999850022496,1.0,0.10000999850022496,-0.13387657159997002,-0.21423687105966494,0.06888581068899761,0.13467643162446571,False,-0.1340798880167975,0.06911188479713318
cic_ids2017_v2,xgb_5class_cw,fragile,block_greedy_stealth,DoS,0.9996279761904762,0.9996279761904762,,,0.000274958756186572,2.499562576552261e-05,0.0004464085127411366,-2.140027198659181e-05,0.00014997375459294623,False,2.499625056240351e-05,0.0002593659907986168
cic_ids2017_v2,xgb_5class_cw,fragile,highest_pt,DoS,0.9996279761904762,0.0011160714285714285,0.10000999850022496,1.0,0.10000999850022496,-0.13387657159997002,-0.21423687105966494,0.06888581068899761,0.13467643162446571,False,-0.1340798880167975,0.06911188479713318
cic_ids2017_v2,xgb_5class_cw,fragile,random,DoS,0.9996279761904762,0.16722470238095238,0.10000999850022496,0.6760809797550612,0.10000999850022496,-0.16189666808308545,-0.6100059398141717,0.0677962988795061,0.16334641437748393,False,-0.16302554616807485,0.06931442145761676
cic_ids2017_v2,xgb_5class_cw,stable,block_greedy,Probe,0.9995551601423488,0.0,0.05024246363045543,1.0,0.10000999850022496,-0.09155897717899364,-0.2956234950329678,0.09888787546014909,0.09300872347339216,False,-0.09126131080337951,0.09870923226751886
cic_ids2017_v2,xgb_5class_cw,stable,block_greedy_stealth,Probe,0.9995551601423488,0.9995551601423488,,,0.000274958756186572,2.499562576552261e-05,0.0004464085127411366,-2.140027198659181e-05,0.00014997375459294623,False,2.499625056240351e-05,0.0002593659907986168
cic_ids2017_v2,xgb_5class_cw,stable,highest_pt,Probe,0.9995551601423488,0.0,0.05024246363045543,1.0,0.10000999850022496,-0.09155897717899364,-0.2956234950329678,0.09888787546014909,0.09300872347339216,False,-0.09126131080337951,0.09870923226751886
cic_ids2017_v2,xgb_5class_cw,stable,random,Probe,0.9995551601423488,0.1748220640569395,0.10000999850022496,0.2944263934016496,0.10000999850022496,-0.16189666808308545,-0.6100059398141717,0.0677962988795061,0.16334641437748393,False,-0.16302554616807485,0.06931442145761676
cic_ids2017_v2,xgb_5class_smote,fragile,block_greedy,R2L,0.9730941704035875,0.0,0.010048492726091086,0.554726368159204,0.10000999850022496,-0.10130727122753524,-0.5159083326994096,0.09117534870502685,0.10308196065688505,False,-0.10030995350697391,0.09076838480309637
cic_ids2017_v2,xgb_5class_smote,fragile,block_greedy_stealth,R2L,0.9730941704035875,0.9730941704035875,,,0.00024996250562415637,0.0,0.0,0.00011075081777280017,9.998250306196416e-05,False,0.0,0.00022751208356015616
cic_ids2017_v2,xgb_5class_smote,fragile,highest_pt,R2L,0.9730941704035875,0.0,0.010048492726091086,0.554726368159204,0.10000999850022496,-0.10130727122753524,-0.5159083326994096,0.09117534870502685,0.10308196065688505,False,-0.10030995350697391,0.09076838480309637
cic_ids2017_v2,xgb_5class_smote,fragile,random,R2L,0.9730941704035875,0.21973094170403587,0.10000999850022496,0.028742814296425893,0.10000999850022496,-0.1602719524083286,-0.5442884501264881,0.06635183088537419,0.16209663308920938,False,-0.1602009698545218,0.06624150609316405
cic_ids2017_v2,xgb_5class_smote,stable,block_greedy,DoS,0.9996279761904762,0.0013020833333333333,0.10000999850022496,1.0,0.10000999850022496,-0.1337265978453771,-0.2140430528728735,0.06897256598660216,0.1347014272502312,False,-0.13405489176623508,0.06929219684303269
cic_ids2017_v2,xgb_5class_smote,stable,block_greedy_stealth,DoS,0.9996279761904762,0.9996279761904762,,,0.00024996250562415637,0.0,0.0,0.00011075081777280017,9.998250306196416e-05,False,0.0,0.00022751208356015616
cic_ids2017_v2,xgb_5class_smote,stable,highest_pt,DoS,0.9996279761904762,0.0013020833333333333,0.10000999850022496,1.0,0.10000999850022496,-0.1337265978453771,-0.2140430528728735,0.06897256598660216,0.1347014272502312,False,-0.13405489176623508,0.06929219684303269
cic_ids2017_v2,xgb_5class_smote,stable,random,DoS,0.9996279761904762,0.15048363095238096,0.10000999850022496,0.6760809797550612,0.10000999850022496,-0.1602719524083286,-0.5442884501264881,0.06635183088537419,0.16209663308920938,False,-0.1602009698545218,0.06624150609316405
