dataset,variant,pair,k,class,FA,RA,SA,SRA,RC,PRA,class_idx,n_samples
nsl_kdd_v2,5class_cw,rf-xgb,10,Probe,0.6450236966824636,0.14312796208530804,0.9980252764612954,0.14312796208530804,0.6687060175211837,0.7576619273301731,2.0,211.0
nsl_kdd_v2,5class_cw,rf-xgb,10,R2L,0.658215962441314,0.09483568075117377,0.964047246441613,0.09201877934272304,0.5026319533361782,0.6888888888888886,3.0,213.0
nsl_kdd_v2,5class_cw,rf-xgb,10,U2R,0.7238805970149256,0.15522388059701486,0.9911158493248045,0.153731343283582,0.5871551334237901,0.7240464344941956,4.0,67.0
nsl_kdd_v2,5class_cw,rf-xgb,15,Normal,0.6960408684546595,0.13307790549169843,0.9236321150114256,0.13077905491698574,0.7037493158182812,0.7748950921364707,0.0,261.0
nsl_kdd_v2,5class_cw,rf-xgb,15,DoS,0.6091397849462351,0.05833333333333328,0.9561861413675926,0.05725806451612898,0.38171082949308754,0.6351766513056826,1.0,248.0
nsl_kdd_v2,5class_cw,rf-xgb,15,Probe,0.7052132701421797,0.11785150078988924,0.987621935726201,0.11721958925750378,0.6059580230196345,0.72642744301512,2.0,211.0
nsl_kdd_v2,5class_cw,rf-xgb,15,R2L,0.6701095461658837,0.07949921752738642,0.8981376604616038,0.07261345852895137,0.6008551307847081,0.7192935390118483,3.0,213.0
nsl_kdd_v2,5class_cw,rf-xgb,15,U2R,0.7522388059701492,0.12537313432835823,0.9625937909519997,0.12238805970149255,0.6418976545842217,0.7387348969438522,4.0,67.0
nsl_kdd_v2,5class_cw,rf-dnn,5,Normal,0.4727969348659007,0.13639846743295006,0.9789272030651341,0.13639846743295006,0.2176245210727966,0.5823754789272022,0.0,261.0
nsl_kdd_v2,5class_cw,rf-dnn,5,DoS,0.27822580645161343,0.09838709677419334,0.8286290322580645,0.09516129032258044,0.1282258064516128,0.5584677419354837,1.0,248.0
nsl_kdd_v2,5class_cw,rf-dnn,5,Probe,0.4236966824644552,0.0928909952606634,0.9320695102685623,0.08720379146919423,-0.17630331753554504,0.42843601895734584,2.0,211.0
nsl_kdd_v2,5class_cw,rf-dnn,5,R2L,0.4413145539906105,0.1032863849765257,0.9718309859154928,0.09859154929577452,-0.05633802816901406,0.4816901408450707,3.0,213.0
nsl_kdd_v2,5class_cw,rf-dnn,5,U2R,0.3791044776119401,0.09253731343283583,0.8830845771144278,0.09253731343283583,-0.01194029850746269,0.5044776119402987,4.0,67.0
nsl_kdd_v2,5class_cw,rf-dnn,10,Normal,0.4540229885057477,0.08850574712643684,0.9256340083926302,0.08505747126436787,0.036015325670498095,0.5171562366964668,0.0,261.0
nsl_kdd_v2,5class_cw,rf-dnn,10,DoS,0.4185483870967743,0.06532258064516115,0.9422331029185872,0.06290322580645148,0.16529814271749743,0.5559139784946238,1.0,248.0
nsl_kdd_v2,5class_cw,rf-dnn,10,Probe,0.5161137440758292,0.06492890995260657,0.9615436696005423,0.061611374407582874,0.1285939968404423,0.5615587151132172,2.0,211.0
nsl_kdd_v2,5class_cw,rf-dnn,10,R2L,0.5713615023474174,0.07417840375586844,0.8513022579923998,0.06901408450704216,0.18469199032579292,0.5712050078247263,3.0,213.0
nsl_kdd_v2,5class_cw,rf-dnn,10,U2R,0.4701492537313432,0.06567164179104477,0.865138592750533,0.059701492537313446,0.22243328810492993,0.5820895522388061,4.0,67.0
nsl_kdd_v2,5class_cw,rf-dnn,15,Normal,0.4564495530012775,0.06819923371647497,0.8883977984552708,0.06309067688378023,0.09904214559386983,0.5418719211822661,0.0,261.0
nsl_kdd_v2,5class_cw,rf-dnn,15,DoS,0.5129032258064514,0.05053763440860209,0.9161429967881586,0.04758064516129027,0.16624423963133622,0.5572196620583714,1.0,248.0
nsl_kdd_v2,5class_cw,rf-dnn,15,Probe,0.5601895734597152,0.054344391785150034,0.9494775103779843,0.05181674565560819,0.19263710223425867,0.5798239675016921,2.0,211.0
nsl_kdd_v2,5class_cw,rf-dnn,15,R2L,0.5777777777777774,0.056025039123630625,0.7767897074235093,0.050078247261345826,0.310429242119383,0.6141292197630221,3.0,213.0
nsl_kdd_v2,5class_cw,rf-dnn,15,U2R,0.4855721393034825,0.04776119402985077,0.7932873511231717,0.04278606965174132,0.3542110874200426,0.6287135749822319,4.0,67.0
nsl_kdd_v2,5class_cw,xgb-dnn,5,Normal,0.48659003831417674,0.14252873563218382,0.9658365261813538,0.14099616858237532,0.41724137931034505,0.6659003831417621,0.0,261.0
nsl_kdd_v2,5class_cw,xgb-dnn,5,DoS,0.25967741935483907,0.0548387096774193,0.8084677419354839,0.05403225806451608,0.16290322580645158,0.5620967741935476,1.0,248.0
nsl_kdd_v2,5class_cw,xgb-dnn,5,Probe,0.47393364928909953,0.12511848341232207,0.9695892575039493,0.12322274881516568,0.06066350710900476,0.5327014218009479,2.0,211.0
nsl_kdd_v2,5class_cw,xgb-dnn,5,R2L,0.3380281690140849,0.09295774647887314,0.9029733959311425,0.09295774647887314,-0.11361502347417847,0.46431924882629105,3.0,213.0
nsl_kdd_v2,5class_cw,xgb-dnn,5,U2R,0.2746268656716417,0.08656716417910451,0.77363184079602,0.0776119402985075,0.044776119402985065,0.5029850746268658,4.0,67.0
nsl_kdd_v2,5class_cw,xgb-dnn,10,Normal,0.46934865900383166,0.0850574712643679,0.9526090129538408,0.08237547892720316,0.277139208173691,0.6064708386547466,0.0,261.0
nsl_kdd_v2,5class_cw,xgb-dnn,10,DoS,0.3173387096774191,0.04072580645161285,0.8604454685099846,0.03830645161290318,0.35689149560117256,0.639336917562723,1.0,248.0
nsl_kdd_v2,5class_cw,xgb-dnn,10,Probe,0.5227488151658765,0.09810426540284356,0.9107255698487937,0.08909952606635063,0.20425104121786575,0.5832543443917848,2.0,211.0
nsl_kdd_v2,5class_cw,xgb-dnn,10,R2L,0.4230046948356812,0.06666666666666658,0.9651799687010959,0.06478873239436612,0.12203727414995022,0.5442879499217527,3.0,213.0
nsl_kdd_v2,5class_cw,xgb-dnn,10,U2R,0.3582089552238807,0.05373134328358211,0.8713930348258704,0.04477611940298509,0.10881953867028492,0.5416252072968493,4.0,67.0
nsl_kdd_v2,5class_cw,xgb-dnn,15,Normal,0.4475095785440617,0.06462324393358868,0.8751267463911149,0.05977011494252866,0.29072249589490984,0.6114942528735628,0.0,261.0
nsl_kdd_v2,5class_cw,xgb-dnn,15,DoS,0.4177419354838713,0.03387096774193548,0.8162330389144911,0.030913978494623656,0.19483006912442408,0.5755376344086021,1.0,248.0
nsl_kdd_v2,5class_cw,xgb-dnn,15,Probe,0.5456556082148496,0.07298578199052123,0.9109163743049999,0.06571879936808837,0.30098171970209864,0.6133152787181219,2.0,211.0
nsl_kdd_v2,5class_cw,xgb-dnn,15,R2L,0.47042253521126776,0.052582159624413136,0.9077725612936884,0.04851330203442879,0.12288732394366199,0.5455846188240553,3.0,213.0
nsl_kdd_v2,5class_cw,xgb-dnn,15,U2R,0.43582089552238784,0.04975124378109457,0.8409973939824684,0.03781094527363186,0.09291044776119402,0.5320540156361052,4.0,67.0
nsl_kdd_v2,5class_smote,rf-xgb,5,Normal,0.7026819923371648,0.4559386973180081,0.9945721583652617,0.45517241379310386,0.7816091954022993,0.8486590038314191,0.0,261.0
nsl_kdd_v2,5class_smote,rf-xgb,5,DoS,0.5717741935483867,0.17338709677419348,1.0,0.17338709677419348,0.4572580645161287,0.6794354838709675,1.0,248.0
nsl_kdd_v2,5class_smote,rf-xgb,5,Probe,0.7137440758293826,0.19146919431279627,1.0,0.19146919431279627,0.4417061611374408,0.6502369668246443,2.0,211.0
nsl_kdd_v2,5class_smote,rf-xgb,5,R2L,0.6676056338028166,0.20093896713615023,1.0,0.20093896713615023,0.3291079812206571,0.6422535211267607,3.0,213.0
nsl_kdd_v2,5class_smote,rf-xgb,5,U2R,0.7044776119402987,0.26268656716417904,0.996268656716418,0.26268656716417904,0.5029850746268657,0.7059701492537311,4.0,67.0
nsl_kdd_v2,5class_smote,rf-xgb,10,Normal,0.6892720306513401,0.2505747126436784,0.9825959374809952,0.24942528735632202,0.6429583188203876,0.7553001277139202,0.0,261.0
nsl_kdd_v2,5class_smote,rf-xgb,10,DoS,0.5572580645161279,0.11129032258064529,0.9791186635944703,0.108467741935484,0.37057673509286415,0.630286738351254,1.0,248.0
nsl_kdd_v2,5class_smote,rf-xgb,10,Probe,0.7052132701421795,0.1180094786729859,0.9912830060934328,0.1142180094786731,0.6399253195461727,0.7345971563981039,2.0,211.0
nsl_kdd_v2,5class_smote,rf-xgb,10,R2L,0.6253521126760561,0.1201877934272301,0.9654314777554218,0.11737089201877937,0.5982358799260203,0.7302034428794985,3.0,213.0
nsl_kdd_v2,5class_smote,rf-xgb,10,U2R,0.7328358208955225,0.1686567164179104,0.9662106135986733,0.1686567164179104,0.6524649479873359,0.7532338308457711,4.0,67.0
nsl_kdd_v2,5class_smote,rf-xgb,15,Normal,0.725415070242655,0.18160919540229886,0.947901949051374,0.17956577266922094,0.6121784345922276,0.7355956942163833,0.0,261.0
nsl_kdd_v2,5class_smote,rf-xgb,15,DoS,0.6349462365591384,0.08413978494623642,0.9444150719352328,0.0822580645161289,0.5034850230414747,0.6848694316436247,1.0,248.0
nsl_kdd_v2,5class_smote,rf-xgb,15,Probe,0.7105845181674559,0.09225908372827793,0.9800879741638032,0.08878357030015786,0.6373561272850374,0.7348228390882416,2.0,211.0
nsl_kdd_v2,5class_smote,rf-xgb,15,R2L,0.6594679186228479,0.08951486697965558,0.9203217622231711,0.0873239436619717,0.6037726358148895,0.7221998658618374,3.0,213.0
nsl_kdd_v2,5class_smote,rf-xgb,15,U2R,0.7134328358208956,0.12537313432835825,0.9278409815723245,0.12437810945273635,0.7007462686567166,0.7695806680881306,4.0,67.0
nsl_kdd_v2,5class_smote,rf-dnn,5,Normal,0.3272030651341003,0.05900383141762446,0.9438058748403575,0.057471264367816036,0.3034482758620693,0.633716475095785,0.0,261.0
nsl_kdd_v2,5class_smote,rf-dnn,5,DoS,0.3379032258064523,0.07741935483870953,0.929771505376344,0.07499999999999987,0.30201612903225844,0.607258064516129,1.0,248.0
nsl_kdd_v2,5class_smote,rf-dnn,5,Probe,0.41042654028436065,0.07962085308056863,0.9269352290679301,0.07488151658767764,-0.2331753554502372,0.414218009478673,2.0,211.0
nsl_kdd_v2,5class_smote,rf-dnn,5,R2L,0.310798122065728,0.07136150234741777,0.9194053208137715,0.06760563380281683,0.03615023474178404,0.5164319248826292,3.0,213.0
nsl_kdd_v2,5class_smote,rf-dnn,5,U2R,0.37611940298507435,0.0865671641791045,0.8656716417910447,0.07164179104477612,-0.10149253731343282,0.45820895522388067,4.0,67.0
nsl_kdd_v2,5class_smote,rf-dnn,10,Normal,0.403448275862069,0.043678160919540174,0.8938423645320203,0.039463601532567005,0.03606176709624984,0.5208173690932311,0.0,261.0
nsl_kdd_v2,5class_smote,rf-dnn,10,DoS,0.4370967741935483,0.0568548387096773,0.9566724270353305,0.054838709677419245,0.23181818181818162,0.5787634408602151,1.0,248.0
nsl_kdd_v2,5class_smote,rf-dnn,10,Probe,0.517061611374408,0.05876777251184826,0.9397540058677503,0.05450236966824638,0.07488151658767773,0.5363875724065298,2.0,211.0
nsl_kdd_v2,5class_smote,rf-dnn,10,R2L,0.4943661971830987,0.05352112676056331,0.6883914598703329,0.039906103286384935,0.09295774647887324,0.5336463223787167,3.0,213.0
nsl_kdd_v2,5class_smote,rf-dnn,10,U2R,0.4701492537313433,0.07014925373134327,0.8034825870646763,0.0537313432835821,0.17557666214382628,0.5595356550580434,4.0,67.0
nsl_kdd_v2,5class_smote,rf-dnn,15,Normal,0.4365261813537678,0.037037037037037014,0.7723590585659557,0.030140485312899094,0.09154351395730702,0.5365079365079367,0.0,261.0
nsl_kdd_v2,5class_smote,rf-dnn,15,DoS,0.5403225806451609,0.045430107526881675,0.9149403016338503,0.0419354838709677,0.21052707373271892,0.5742319508448543,1.0,248.0
nsl_kdd_v2,5class_smote,rf-dnn,15,Probe,0.5563981042654024,0.0521327014218009,0.8847983901301432,0.045497630331753525,0.21679079214624236,0.5824418867072894,2.0,211.0
nsl_kdd_v2,5class_smote,rf-dnn,15,R2L,0.5496087636932706,0.04444444444444442,0.6325564758663348,0.030672926447574345,0.23046613011401765,0.5815336463223788,3.0,213.0
nsl_kdd_v2,5class_smote,rf-dnn,15,U2R,0.5383084577114429,0.05273631840796023,0.7559109215825632,0.03980099502487564,0.21529850746268658,0.571712864250178,4.0,67.0
nsl_kdd_v2,5class_smote,xgb-dnn,5,Normal,0.4697318007662834,0.05823754789272026,0.9754150702426564,0.05670498084291183,-0.022222222222222213,0.49540229885057485,0.0,261.0
nsl_kdd_v2,5class_smote,xgb-dnn,5,DoS,0.32983870967742,0.06370967741935477,0.8440860215053763,0.061290322580645096,0.18548387096774188,0.5713709677419352,1.0,248.0
nsl_kdd_v2,5class_smote,xgb-dnn,5,Probe,0.4047393364928915,0.10900473933649267,0.9340442338072668,0.1023696682464453,0.02843601895734599,0.5099526066350714,2.0,211.0
nsl_kdd_v2,5class_smote,xgb-dnn,5,R2L,0.22441314553990618,0.027230046948356817,0.7981220657276994,0.02535211267605635,-0.1788732394366199,0.4281690140845068,3.0,213.0
nsl_kdd_v2,5class_smote,xgb-dnn,5,U2R,0.29552238805970127,0.08656716417910451,0.7885572139303482,0.07164179104477614,-0.02686567164179103,0.4835820895522388,4.0,67.0
nsl_kdd_v2,5class_smote,xgb-dnn,10,Normal,0.42950191570881274,0.045210727969348594,0.88274949826674,0.041762452107279635,0.3017067223963775,0.6022137079608342,0.0,261.0
nsl_kdd_v2,5class_smote,xgb-dnn,10,DoS,0.3475806451612901,0.045161290322580566,0.9038978494623656,0.03830645161290317,0.38748778103616793,0.6459677419354832,1.0,248.0
nsl_kdd_v2,5class_smote,xgb-dnn,10,Probe,0.5445497630331748,0.07962085308056863,0.8983525163619958,0.07156398104265389,0.13531523768490586,0.5541864139020534,2.0,211.0
nsl_kdd_v2,5class_smote,xgb-dnn,10,R2L,0.3680751173708918,0.027230046948356793,0.9039123630672925,0.02300469483568075,0.02740076824583868,0.5107981220657275,3.0,213.0
nsl_kdd_v2,5class_smote,xgb-dnn,10,U2R,0.3985074626865671,0.05373134328358212,0.7932835820895523,0.04179104477611942,0.14427860696517408,0.5519071310116088,4.0,67.0
nsl_kdd_v2,5class_smote,xgb-dnn,15,Normal,0.44265644955300165,0.03652618135376754,0.7971959607017088,0.03269476372924648,0.30782703886152174,0.607006020799124,0.0,261.0
nsl_kdd_v2,5class_smote,xgb-dnn,15,DoS,0.430913978494624,0.03897849462365587,0.8409845866499097,0.032795698924731165,0.25072004608294923,0.5852534562211982,1.0,248.0
nsl_kdd_v2,5class_smote,xgb-dnn,15,Probe,0.5472353870458134,0.057503949447077346,0.8698299857067631,0.0511848341232227,0.363845633039946,0.6371473707966598,2.0,211.0
nsl_kdd_v2,5class_smote,xgb-dnn,15,R2L,0.48106416275430386,0.027543035993740226,0.8501065314445594,0.022535211267605642,0.09505365526492279,0.5338698859825621,3.0,213.0
nsl_kdd_v2,5class_smote,xgb-dnn,15,U2R,0.4835820895522389,0.0437810945273632,0.7049390493420344,0.031840796019900496,0.09541577825159914,0.5324804548685148,4.0,67.0
