Pair,k,Class,Target,feature_agreement,rank_agreement,sign_agreement,signed_rank_agreement,rank_correlation,pairwise_rank_agreement
xgb-dnn,5,Probe,5class,0.3953333333333341,0.10566666666666713,0.9541666666666667,0.10433333333333378,-0.07916666666666676,0.4623333333333328
xgb-dnn,10,Probe,5class,0.5871666666666665,0.0915000000000005,0.9228293650793654,0.08866666666666714,0.040424242424242425,0.5156296296296303
xgb-dnn,15,Probe,5class,0.6061111111111153,0.06655555555555563,0.8959168100418101,0.06444444444444447,0.2325059523809524,0.5868571428571425
rf-xgb,5,R2L,5class,0.6713333333333383,0.21233333333333407,0.9994444444444444,0.21233333333333407,0.4248333333333342,0.6778333333333326
rf-xgb,10,R2L,5class,0.6573333333333322,0.14033333333333345,0.9803789682539676,0.13600000000000015,0.5855151515151509,0.7204814814814804
rf-xgb,15,R2L,5class,0.6807777777777819,0.11544444444444485,0.8903843795093814,0.10455555555555607,0.6316190476190474,0.7331746031746018
rf-dnn,5,R2L,5class,0.39266666666666616,0.065,0.9288888888888893,0.064,-0.04316666666666666,0.47983333333333245
rf-dnn,10,R2L,5class,0.5614999999999998,0.04950000000000016,0.7500019841269856,0.04200000000000011,0.18715151515151499,0.5674444444444435
rf-dnn,15,R2L,5class,0.6254444444444475,0.04299999999999989,0.7179853572353578,0.0356666666666666,0.23016071428571436,0.5828730158730157
xgb-dnn,5,R2L,5class,0.2613333333333343,0.035666666666666604,0.7849999999999999,0.03533333333333327,-0.17200000000000018,0.419833333333335
xgb-dnn,10,R2L,5class,0.4518333333333346,0.04633333333333347,0.8333809523809539,0.03366666666666669,-0.10606060606060597,0.457851851851852
xgb-dnn,15,R2L,5class,0.5398888888888896,0.037333333333333246,0.780998977873978,0.02777777777777772,0.03228571428571428,0.50831746031746
rf-xgb,5,U2R,5class,0.7151515151515153,0.3454545454545455,1.0,0.3454545454545455,0.5636363636363635,0.7393939393939397
rf-xgb,10,U2R,5class,0.7181818181818183,0.18787878787878792,0.9751082251082251,0.18787878787878792,0.6323232323232322,0.7501683501683504
rf-xgb,15,U2R,5class,0.7232323232323234,0.13939393939393943,0.9468225377316287,0.13333333333333336,0.6809523809523806,0.7619047619047621
rf-dnn,5,U2R,5class,0.4909090909090908,0.04242424242424242,0.803030303030303,0.04242424242424242,-0.006060606060606042,0.4878787878787878
rf-dnn,10,U2R,5class,0.5454545454545453,0.0393939393939394,0.7643939393939396,0.0303030303030303,0.23122130394857662,0.5838383838383839
rf-dnn,15,U2R,5class,0.5696969696969697,0.04242424242424242,0.7353907876635151,0.02828282828282828,0.2611471861471861,0.5907647907647908
xgb-dnn,5,U2R,5class,0.35757575757575766,0.0606060606060606,0.7525252525252525,0.03636363636363636,-0.006060606060606059,0.506060606060606
xgb-dnn,10,U2R,5class,0.4757575757575758,0.0393939393939394,0.7544733044733046,0.02727272727272727,0.08503213957759413,0.5373737373737375
xgb-dnn,15,U2R,5class,0.48080808080808085,0.03434343434343434,0.6674122174122175,0.02222222222222222,0.1557359307359307,0.5549783549783548
