dataset,variant,source,rank,feature_index,feature,mean_abs_shap,share_of_total
cic_ids2017_v2,5class_cw,rf (prob),10,21,Fwd IAT Mean,0.04842879948998194,0.025160329906968613
cic_ids2017_v2,5class_cw,dnn (softmax),1,46,PSH Flag Count,0.20181611777256794,0.09662796980176168
cic_ids2017_v2,5class_cw,dnn (softmax),2,37,Bwd Packets/s,0.12925280235455547,0.06188522512747837
cic_ids2017_v2,5class_cw,dnn (softmax),3,48,URG Flag Count,0.09936331202716554,0.04757437225496485
cic_ids2017_v2,5class_cw,dnn (softmax),4,51,Down/Up Ratio,0.08776387549233904,0.0420206532776344
cic_ids2017_v2,5class_cw,dnn (softmax),5,47,ACK Flag Count,0.07537891340584682,0.03609083084472959
cic_ids2017_v2,5class_cw,dnn (softmax),6,44,SYN Flag Count,0.0715628090168513,0.03426371007890565
cic_ids2017_v2,5class_cw,dnn (softmax),7,0,Destination Port,0.06100344460785953,0.02920796945472175
cic_ids2017_v2,5class_cw,dnn (softmax),8,30,Fwd PSH Flags,0.06036197803649607,0.028900840305817996
cic_ids2017_v2,5class_cw,dnn (softmax),9,38,Min Packet Length,0.058987596205428164,0.02824279709532388
cic_ids2017_v2,5class_cw,dnn (softmax),10,52,Average Packet Size,0.057799976375170786,0.027674174061838485
cic_ids2017_v2,5class_cw,dnn (logit),1,46,PSH Flag Count,1.4848353862762451,0.09471355378627777
cic_ids2017_v2,5class_cw,dnn (logit),2,37,Bwd Packets/s,0.8878212571144104,0.0566316694021225
cic_ids2017_v2,5class_cw,dnn (logit),3,51,Down/Up Ratio,0.647043764591217,0.04127313569188118
cic_ids2017_v2,5class_cw,dnn (logit),4,47,ACK Flag Count,0.589595377445221,0.037608660757541656
cic_ids2017_v2,5class_cw,dnn (logit),5,52,Average Packet Size,0.5276362895965576,0.03365646302700043
cic_ids2017_v2,5class_cw,dnn (logit),6,48,URG Flag Count,0.5270241498947144,0.03361741825938225
cic_ids2017_v2,5class_cw,dnn (logit),7,12,Bwd Packet Length Mean,0.4385271966457367,0.02797243930399418
cic_ids2017_v2,5class_cw,dnn (logit),8,74,Idle Mean,0.4161623418331146,0.026545846834778786
cic_ids2017_v2,5class_cw,dnn (logit),9,54,Avg Bwd Segment Size,0.4061661958694458,0.025908220559358597
cic_ids2017_v2,5class_cw,dnn (logit),10,40,Packet Length Mean,0.3860361874103546,0.024624183773994446
cic_ids2017_v2,5class_smote,xgb (logit),1,0,Destination Port,9.86310863494873,0.20335769653320312
cic_ids2017_v2,5class_smote,xgb (logit),2,37,Bwd Packets/s,3.663104295730591,0.0755259245634079
cic_ids2017_v2,5class_smote,xgb (logit),3,66,Init_Win_bytes_forward,2.7899274826049805,0.05752275884151459
cic_ids2017_v2,5class_smote,xgb (logit),4,46,PSH Flag Count,2.181654930114746,0.04498138651251793
cic_ids2017_v2,5class_smote,xgb (logit),5,69,min_seg_size_forward,1.781416416168213,0.03672926500439644
cic_ids2017_v2,5class_smote,xgb (logit),6,67,Init_Win_bytes_backward,1.773939847946167,0.036575112491846085
cic_ids2017_v2,5class_smote,xgb (logit),7,19,Flow IAT Min,1.7109105587005615,0.035275574773550034
cic_ids2017_v2,5class_smote,xgb (logit),8,8,Fwd Packet Length Mean,1.488905906677246,0.030698278918862343
cic_ids2017_v2,5class_smote,xgb (logit),9,13,Bwd Packet Length Std,1.4017671346664429,0.02890165150165558
cic_ids2017_v2,5class_smote,xgb (logit),10,24,Fwd IAT Min,1.3690317869186401,0.028226712718605995
cic_ids2017_v2,5class_smote,rf (prob),1,0,Destination Port,0.21544225217306184,0.10867461541383701
cic_ids2017_v2,5class_smote,rf (prob),2,11,Bwd Packet Length Min,0.10288696486209972,0.051898832400359154
cic_ids2017_v2,5class_smote,rf (prob),3,66,Init_Win_bytes_forward,0.06031605219201122,0.0304249686824771
cic_ids2017_v2,5class_smote,rf (prob),4,37,Bwd Packets/s,0.056481027236776414,0.02849048341828749
cic_ids2017_v2,5class_smote,rf (prob),5,67,Init_Win_bytes_backward,0.056176658141773035,0.028336951815225803
cic_ids2017_v2,5class_smote,rf (prob),6,13,Bwd Packet Length Std,0.05285453285052741,0.02666118633867161
