prevalence,n_cal,budget_frac,delta,strength,n_used,violation_rate,mean_bound,mean_empirical,median_tightness,frac_bound_above_zero,median_budget_overrun,sweep,exceeds_nominal
0.1,5000,0.05,0.1,1.5,800,0.0,0.2136561566371248,0.30290887450242665,0.704932329435177,1.0,0.834,main,False
0.1,5000,0.1,0.1,1.5,800,0.0,0.37981771909243606,0.4736784038250633,0.8029504741833509,1.0,0.885,main,False
0.1,5000,0.2,0.1,1.5,800,0.0,0.5914346638879341,0.6741556285700403,0.8778125013166789,1.0,0.9221250000000001,main,False
0.1,20000,0.005,0.1,1.5,800,0.0,0.017225145043147046,0.043997294062585734,0.3928571428571429,1.0,0.66,main,False
0.1,20000,0.01,0.1,1.5,800,0.0,0.04539824856638472,0.08260473459615923,0.5487804878048781,1.0,0.76,main,False
0.1,20000,0.05,0.1,1.5,800,0.0,0.24244064731348577,0.3031868062333619,0.7990155699841717,1.0,0.888,main,False
0.1,20000,0.1,0.1,1.5,800,0.0,0.4109238419234294,0.47345526763375645,0.8682816485792247,1.0,0.924,main,False
0.1,20000,0.2,0.1,1.5,800,0.00125,0.6191100569151645,0.674521007303242,0.9181689455561655,1.0,0.950375,main,False
0.1,50000,0.005,0.1,1.5,800,0.0,0.021531835769871693,0.04394568643356607,0.4888888888888888,1.0,0.72,main,False
0.1,50000,0.01,0.1,1.5,800,0.0,0.05174339731660342,0.08261222244607343,0.6265060240963856,1.0,0.8,main,False
0.1,50000,0.05,0.1,1.5,800,0.0,0.2535173244041347,0.30276887981382655,0.8386299622681617,1.0,0.9105000000000001,main,False
0.1,50000,0.1,0.1,1.5,800,0.0,0.42229103266888196,0.4728713975337597,0.8927425895045698,1.0,0.938,main,False
0.1,50000,0.2,0.1,1.5,800,0.0,0.6296897273826049,0.6746394189467795,0.933504410862559,1.0,0.9585,main,False
0.02,1000,0.005,0.1,1.5,800,0.0,0.0,0.10550306833780258,0.0,0.0,0.14500000000000002,main,False
0.02,1000,0.01,0.1,1.5,800,0.0,0.0034344366561513996,0.1667299238018709,0.0,0.435,0.2575,main,False
0.02,1000,0.05,0.1,1.5,800,0.00125,0.1246002878166161,0.413573503707254,0.28834841628959273,0.99125,0.6775,main,False
0.02,1000,0.1,0.1,1.5,800,0.00125,0.253417834566891,0.564813601920904,0.4403480952920301,1.0,0.7827500000000001,main,False
0.02,1000,0.2,0.1,1.5,800,0.00125,0.41990825186830105,0.7321528730501942,0.5819688109161794,1.0,0.85925,main,False
0.02,2000,0.005,0.1,1.5,800,0.0,0.00014765390442274184,0.10497148531778372,0.0,0.06,0.16,main,False
0.02,2000,0.01,0.1,1.5,800,0.0,0.0171679883080119,0.16704210119958185,0.08606701940035273,0.83625,0.43,main,False
0.02,2000,0.05,0.1,1.5,800,0.0,0.18679565498564524,0.41250121315822347,0.4457487091222031,1.0,0.753,main,False
0.02,2000,0.1,0.1,1.5,800,0.005,0.3316235001673196,0.5634437000313833,0.5824154589371981,1.0,0.8345,main,False
0.02,2000,0.2,0.1,1.5,800,0.00125,0.5107495235370189,0.7316427499885729,0.6965186735705629,1.0,0.88825,main,False
0.02,5000,0.005,0.1,1.5,800,0.0,0.01241379388785102,0.1051794835747629,0.1111111111111111,0.93875,0.48,main,False
0.02,5000,0.01,0.1,1.5,800,0.0,0.046187420545020626,0.16684901882335118,0.2702702702702703,1.0,0.625,main,False
0.02,5000,0.05,0.1,1.5,800,0.0,0.2472086226724074,0.4135951892260058,0.5986969722526777,1.0,0.833,main,False
0.02,5000,0.1,0.1,1.5,800,0.0,0.3951087831579791,0.5667325833102228,0.695562712470925,1.0,0.8827499999999999,main,False
0.02,5000,0.2,0.1,1.5,800,0.00125,0.5761614569080745,0.733395991551146,0.7872687887222771,1.0,0.92075,main,False
0.02,20000,0.005,0.1,1.5,800,0.0,0.03542050354163174,0.1051687249848567,0.3333333333333333,1.0,0.66,main,False
0.02,20000,0.01,0.1,1.5,800,0.0,0.08127688491983744,0.1665763907562777,0.484375,1.0,0.755,main,False
0.02,20000,0.05,0.1,1.5,800,0.0,0.30040015142825205,0.4124281001403082,0.7307692307692307,1.0,0.8915,main,False
0.02,20000,0.1,0.1,1.5,800,0.00125,0.4526100558056026,0.5644363768722787,0.8,1.0,0.927,main,False
0.02,20000,0.2,0.1,1.5,800,0.0,0.631813840137339,0.7314891854799508,0.8646012988395614,1.0,0.95025,main,False
0.02,50000,0.005,0.1,1.5,800,0.0,0.04624001685054431,0.10462525468812896,0.4418604651162791,1.0,0.71,main,False
0.02,50000,0.01,0.1,1.5,800,0.0,0.09529888947280547,0.16593650593831918,0.5757575757575758,1.0,0.8,main,False
0.02,50000,0.05,0.1,1.5,800,0.0,0.3213000133295996,0.41068293042818665,0.7841915940931465,1.0,0.909,main,False
0.02,50000,0.1,0.1,1.5,800,0.0,0.4743773032677763,0.563561004533737,0.8419828641370869,1.0,0.9375,main,False
0.02,50000,0.2,0.1,1.5,800,0.00125,0.6526362798784503,0.7320241999587804,0.8910015423173318,1.0,0.9585,main,False
0.005,1000,0.005,0.1,1.5,795,0.0,1.1435105774728416e-05,0.13125069220954022,0.0,0.0012578616352201257,0.13,main,False
0.005,1000,0.01,0.1,1.5,795,0.0012578616352201257,0.0016349482871792912,0.19453296711648993,0.0,0.05911949685534591,0.26,main,False
0.005,1000,0.05,0.1,1.5,795,0.0,0.03868193877384355,0.4352181450631378,0.024390243902439022,0.549685534591195,0.674,main,False
0.005,1000,0.1,0.1,1.5,795,0.0,0.09461571079999538,0.5804364769052331,0.109375,0.7962264150943397,0.781,main,False
0.005,1000,0.2,0.1,1.5,795,0.0,0.17820459025697996,0.7406055620364456,0.20547945205479454,0.9081761006289308,0.85825,main,False
0.005,2000,0.005,0.1,1.5,800,0.0,5.96138541574414e-05,0.13038119785744196,0.0,0.00625,0.165,main,False
0.005,2000,0.01,0.1,1.5,800,0.0,0.004323449980373788,0.19403445970820735,0.0,0.18375,0.415,main,False
0.005,2000,0.05,0.1,1.5,800,0.0,0.07598978780512151,0.43484254525823607,0.14285714285714285,0.83375,0.752,main,False
0.005,2000,0.1,0.1,1.5,800,0.0,0.16740060682741636,0.5804725499894876,0.264728532922603,0.97,0.8362499999999999,main,False
0.005,2000,0.2,0.1,1.5,800,0.0,0.29641869169865165,0.7407342651583008,0.3945515196441809,0.9975,0.88825,main,False
0.005,5000,0.005,0.1,1.5,800,0.0,0.002755831735682689,0.13133212827776228,0.0,0.16875,0.47,main,False
0.005,5000,0.01,0.1,1.5,800,0.00125,0.01629731493705132,0.1948348747127207,0.049999999999999996,0.575,0.61,main,False
0.005,5000,0.05,0.1,1.5,800,0.0,0.1502619994966753,0.43716432491656687,0.32672684458398743,0.9975,0.834,main,False
0.005,5000,0.1,0.1,1.5,800,0.0,0.2707572291073608,0.5842759083540954,0.45454545454545453,1.0,0.88325,main,False
0.005,5000,0.2,0.1,1.5,800,0.00375,0.42967936320536887,0.7420077610288925,0.5846153846153845,1.0,0.9203749999999999,main,False
0.005,20000,0.005,0.1,1.5,800,0.0,0.017714709521127605,0.12894271047849842,0.125,0.82,0.66,main,False
0.005,20000,0.01,0.1,1.5,800,0.0,0.05185567445562507,0.19283747320276917,0.2608695652173913,0.9975,0.755,main,False
0.005,20000,0.05,0.1,1.5,800,0.00125,0.23833412823921785,0.43525048866984906,0.5454545454545454,1.0,0.893,main,False
0.005,20000,0.1,0.1,1.5,800,0.0,0.3770805656514446,0.5805702133586135,0.6451612903225806,1.0,0.926,main,False
0.005,20000,0.2,0.1,1.5,800,0.0025,0.5485822075953393,0.7422294209204117,0.7399928838285004,1.0,0.9505,main,False
0.005,50000,0.005,0.1,1.5,800,0.0,0.029889462835021367,0.12891359160642957,0.23076923076923078,0.995,0.71,main,False
0.005,50000,0.01,0.1,1.5,800,0.0,0.0708917930615054,0.1921580941574996,0.3684210526315789,1.0,0.8,main,False
0.005,50000,0.05,0.1,1.5,800,0.0,0.27054551953170036,0.43078615709341606,0.625,1.0,0.909,main,False
0.005,50000,0.1,0.1,1.5,800,0.00125,0.41400213973670297,0.5780424706018779,0.7168238993710692,1.0,0.9375,main,False
0.005,50000,0.2,0.1,1.5,800,0.0,0.5883175902896223,0.740850357278259,0.7951807228915662,1.0,0.9585,main,False
0.001,1000,0.005,0.1,1.5,506,0.0,0.0,0.13905960811681395,0.0,0.0,0.13,main,False
0.001,1000,0.01,0.1,1.5,506,0.0,0.0,0.20604807185281024,0.0,0.0,0.265,main,False
0.001,1000,0.05,0.1,1.5,506,0.0,0.003839884309058452,0.44603446769366895,0.0,0.05928853754940711,0.6635,main,False
0.001,1000,0.1,0.1,1.5,506,0.0,0.007320147167760724,0.58848299870774,0.0,0.11462450592885376,0.78025,main,False
0.001,1000,0.2,0.1,1.5,506,0.0,0.013833961932016161,0.7470584580821399,0.0,0.19960474308300397,0.856125,main,False
0.001,2000,0.005,0.1,1.5,679,0.0,6.694336591243808e-05,0.13872589583574554,0.0,0.0014727540500736377,0.17,main,False
0.001,2000,0.01,0.1,1.5,679,0.0,0.00021421877091980183,0.2012750787421603,0.0,0.004418262150220913,0.41,main,False
0.001,2000,0.05,0.1,1.5,679,0.0,0.004713012878134693,0.44628680141221355,0.0,0.061855670103092786,0.751,main,False
0.001,2000,0.1,0.1,1.5,679,0.0,0.015505666501906767,0.5907969257351371,0.0,0.17083946980854198,0.8365,main,False
0.001,2000,0.2,0.1,1.5,679,0.0,0.030190755310427083,0.7442204845751935,0.0,0.30338733431516934,0.889,main,False
0.001,5000,0.005,0.1,1.5,796,0.0,7.85175879396985e-05,0.13897380302039544,0.0,0.001256281407035176,0.48,main,False
0.001,5000,0.01,0.1,1.5,796,0.0,0.00032574279058717376,0.2030291395217564,0.0,0.00628140703517588,0.615,main,False
0.001,5000,0.05,0.1,1.5,796,0.0,0.016444446315775237,0.443765203115359,0.0,0.17587939698492464,0.835,main,False
0.001,5000,0.1,0.1,1.5,796,0.0,0.046885611472361574,0.5870155321445533,0.0,0.3793969849246231,0.883,main,False
0.001,5000,0.2,0.1,1.5,796,0.0,0.10649986719976905,0.7402102531011241,0.09090909090909091,0.6683417085427136,0.9195,main,False
0.001,20000,0.005,0.1,1.5,800,0.0,0.0002388203219818662,0.1369151460507101,0.0,0.00625,0.66,main,False
0.001,20000,0.01,0.1,1.5,800,0.0,0.0018047923689241906,0.19923907694523865,0.0,0.0325,0.755,main,False
0.001,20000,0.05,0.1,1.5,800,0.0,0.07026869876732852,0.4433062497499183,0.14285714285714285,0.70875,0.892,main,False
0.001,20000,0.1,0.1,1.5,800,0.00125,0.16457033773325516,0.5913696949456777,0.2666666666666667,0.94,0.92625,main,False
0.001,20000,0.2,0.1,1.5,800,0.0,0.3047576812156611,0.7486301590484874,0.39999999999999997,0.995,0.95025,main,False
0.001,50000,0.005,0.1,1.5,800,0.00125,5.208333333333333e-05,0.13950921151232112,0.0,0.00125,0.71,main,False
0.001,50000,0.01,0.1,1.5,800,0.0,0.003580747706734692,0.20348384559822097,0.0,0.0825,0.8,main,False
0.001,50000,0.05,0.1,1.5,800,0.0025,0.11536571489356774,0.4328905190386046,0.25,0.96375,0.91,main,False
0.001,50000,0.1,0.1,1.5,800,0.00125,0.23147362100351246,0.5781591275794942,0.4,0.99875,0.938,main,False
0.001,50000,0.2,0.1,1.5,800,0.0,0.392013751642299,0.7416332656283542,0.5263157894736843,1.0,0.9585,main,False
0.3,20000,0.01,0.05,1.5,800,0.0,0.01575900230986405,0.03235513178142915,0.4871794871794872,1.0,0.72,delta,False
0.3,20000,0.05,0.05,1.5,800,0.0,0.11640600053798453,0.1530789070791899,0.7608460380199511,1.0,0.872,delta,False
0.3,20000,0.1,0.05,1.5,800,0.0,0.24107852674368574,0.28732879761433106,0.8395953945532931,1.0,0.911,delta,False
0.1,20000,0.01,0.05,1.5,800,0.0,0.04045681437947175,0.08260473459615923,0.48809523809523814,1.0,0.72,delta,False
0.1,20000,0.05,0.05,1.5,800,0.0,0.23311272219704027,0.3031868062333619,0.7689212912661388,1.0,0.871,delta,False
0.1,20000,0.1,0.05,1.5,800,0.0,0.4010374687611262,0.47345526763375645,0.8473768465988878,1.0,0.912,delta,False
0.02,20000,0.01,0.05,1.5,800,0.0,0.07012266929366923,0.1665763907562777,0.4189189189189189,1.0,0.715,delta,False
0.02,20000,0.05,0.05,1.5,800,0.0,0.2837063236391437,0.4124281001403082,0.6888888888888889,1.0,0.876,delta,False
0.02,20000,0.1,0.05,1.5,800,0.0,0.4349388198111734,0.5644363768722787,0.76890756302521,1.0,0.91425,delta,False
0.005,20000,0.01,0.05,1.5,800,0.0,0.03680123807508342,0.19283747320276917,0.18181818181818182,0.97,0.72,delta,False
0.005,20000,0.05,0.05,1.5,800,0.0,0.21055021379638675,0.43525048866984906,0.4821200510855683,1.0,0.875,delta,False
0.005,20000,0.1,0.05,1.5,800,0.0,0.3457286357246515,0.5805702133586135,0.5934851694915253,1.0,0.914,delta,False
0.001,20000,0.01,0.05,1.5,800,0.0,0.0002962368053093859,0.19923907694523865,0.0,0.0075,0.72,delta,False
0.001,20000,0.05,0.05,1.5,800,0.0,0.03940362683732897,0.4433062497499183,0.0,0.485,0.877,delta,False
0.001,20000,0.1,0.05,1.5,800,0.0,0.1153515490420551,0.5913696949456777,0.1818181818181818,0.86,0.914,delta,False
0.3,20000,0.01,0.1,1.5,800,0.0,0.01768403313969727,0.03235513178142915,0.546875,1.0,0.76,delta,False
0.3,20000,0.05,0.1,1.5,800,0.0,0.12119269231119581,0.1530789070791899,0.7918012717268859,1.0,0.889,delta,False
0.3,20000,0.1,0.1,1.5,800,0.0,0.2473289642142909,0.28732879761433106,0.861271676300578,1.0,0.9225,delta,False
0.1,20000,0.01,0.1,1.5,800,0.0,0.04539824856638472,0.08260473459615923,0.5487804878048781,1.0,0.76,delta,False
0.1,20000,0.05,0.1,1.5,800,0.0,0.24244064731348577,0.3031868062333619,0.7990155699841717,1.0,0.888,delta,False
0.1,20000,0.1,0.1,1.5,800,0.0,0.4109238419234294,0.47345526763375645,0.8682816485792247,1.0,0.924,delta,False
0.02,20000,0.01,0.1,1.5,800,0.0,0.08127688491983744,0.1665763907562777,0.484375,1.0,0.755,delta,False
0.02,20000,0.05,0.1,1.5,800,0.0,0.30040015142825205,0.4124281001403082,0.7307692307692307,1.0,0.8915,delta,False
0.02,20000,0.1,0.1,1.5,800,0.00125,0.4526100558056026,0.5644363768722787,0.8,1.0,0.927,delta,False
0.005,20000,0.01,0.1,1.5,800,0.0,0.05185567445562507,0.19283747320276917,0.2608695652173913,0.9975,0.755,delta,False
0.005,20000,0.05,0.1,1.5,800,0.00125,0.23833412823921785,0.43525048866984906,0.5454545454545454,1.0,0.893,delta,False
0.005,20000,0.1,0.1,1.5,800,0.0,0.3770805656514446,0.5805702133586135,0.6451612903225806,1.0,0.926,delta,False
0.001,20000,0.01,0.1,1.5,800,0.0,0.0018047923689241906,0.19923907694523865,0.0,0.0325,0.755,delta,False
0.001,20000,0.05,0.1,1.5,800,0.0,0.07026869876732852,0.4433062497499183,0.14285714285714285,0.70875,0.892,delta,False
0.001,20000,0.1,0.1,1.5,800,0.00125,0.16457033773325516,0.5913696949456777,0.2666666666666667,0.94,0.92625,delta,False
0.3,20000,0.01,0.2,1.5,800,0.0,0.019972212422687038,0.03235513178142915,0.6178010471204188,1.0,0.795,delta,False
0.3,20000,0.05,0.2,1.5,800,0.0,0.12679864527274554,0.1530789070791899,0.8281938325991189,1.0,0.909,delta,False
0.3,20000,0.1,0.2,1.5,800,0.0,0.25442057349822145,0.28732879761433106,0.8861600598404478,1.0,0.9355,delta,False
0.1,20000,0.01,0.2,1.5,800,0.0,0.0512501675809133,0.08260473459615923,0.620253164556962,1.0,0.8,delta,False
0.1,20000,0.05,0.2,1.5,800,0.0,0.2531923483343722,0.3031868062333619,0.8349838209982787,1.0,0.909,delta,False
0.1,20000,0.1,0.2,1.5,800,0.0,0.42203118583100524,0.47345526763375645,0.8913693629793658,1.0,0.937,delta,False
0.02,20000,0.01,0.2,1.5,800,0.0,0.0946409883899262,0.1665763907562777,0.5625,1.0,0.795,delta,False
0.02,20000,0.05,0.2,1.5,800,0.0025,0.31983054379731685,0.4124281001403082,0.7755049989798001,1.0,0.911,delta,False
0.02,20000,0.1,0.2,1.5,800,0.0025,0.4726761550537273,0.5644363768722787,0.8364935298346513,1.0,0.9392499999999999,delta,False
0.005,20000,0.01,0.2,1.5,800,0.0025,0.07121568692640015,0.19283747320276917,0.36,1.0,0.795,delta,False
0.005,20000,0.05,0.2,1.5,800,0.00375,0.2715649841902145,0.43525048866984906,0.6208108108108108,1.0,0.9125000000000001,delta,False
0.005,20000,0.1,0.2,1.5,800,0.0075,0.41298923220374834,0.5805702133586135,0.709384164222874,1.0,0.93975,delta,False
0.001,20000,0.01,0.2,1.5,800,0.00125,0.009153559624265208,0.19923907694523865,0.0,0.16125,0.795,delta,False
0.001,20000,0.05,0.2,1.5,800,0.0075,0.116189823113107,0.4433062497499183,0.25,0.87125,0.9135,delta,False
0.001,20000,0.1,0.2,1.5,800,0.005,0.22810064097448865,0.5913696949456777,0.375,0.99,0.9405,delta,False
0.3,20000,0.01,0.1,1.0,800,0.0,0.01563544339517546,0.02892346410265406,0.5406976744186046,1.0,0.76,separability,False
0.3,20000,0.05,0.1,1.0,800,0.0,0.1007693707614809,0.1282853228053699,0.7856217540503578,1.0,0.889,separability,False
0.3,20000,0.1,0.1,1.0,800,0.0,0.20001484899893296,0.23434699811895554,0.8539605941291335,1.0,0.9255,separability,False
0.1,20000,0.01,0.1,1.0,800,0.0,0.02890053490001973,0.05649044004923591,0.5099019607843137,1.0,0.76,separability,False
0.1,20000,0.05,0.1,1.0,800,0.0,0.15389720272022545,0.20183698295572675,0.7619047619047619,1.0,0.892,separability,False
0.1,20000,0.1,0.1,1.0,800,0.0,0.27432813113080373,0.3293287189387051,0.8320726172465961,1.0,0.9255,separability,False
0.02,20000,0.01,0.1,1.0,800,0.0,0.02824763003911448,0.08274075611509164,0.3421052631578948,1.0,0.76,separability,False
0.02,20000,0.05,0.1,1.0,800,0.0,0.1556564067654594,0.24641684600919952,0.6302173913043478,1.0,0.891,separability,False
0.02,20000,0.1,0.1,1.0,800,0.0,0.2730669940162776,0.37684693777148326,0.7254809343868087,1.0,0.9265,separability,False
0.005,20000,0.01,0.1,1.0,800,0.0,0.006941222109970514,0.08855216378792714,0.0,0.47375,0.755,separability,False
0.005,20000,0.05,0.1,1.0,800,0.00125,0.1000540797889715,0.25433893156159293,0.380952380952381,1.0,0.893,separability,False
0.005,20000,0.1,0.1,1.0,800,0.0,0.2020188806760629,0.38533448725900354,0.5217391304347826,1.0,0.926,separability,False
0.001,20000,0.01,0.1,1.0,800,0.0,0.0,0.08882025634554726,0.0,0.0,0.755,separability,False
0.001,20000,0.05,0.1,1.0,800,0.0,0.008620919941461143,0.25590473915613626,0.0,0.1525,0.892,separability,False
0.001,20000,0.1,0.1,1.0,800,0.00125,0.04773830850145865,0.3880231115968181,0.1,0.5725,0.926,separability,False
0.3,20000,0.01,0.1,1.5,800,0.0,0.01768403313969727,0.03235513178142915,0.546875,1.0,0.76,separability,False
0.3,20000,0.05,0.1,1.5,800,0.0,0.12119269231119581,0.1530789070791899,0.7918012717268859,1.0,0.889,separability,False
0.3,20000,0.1,0.1,1.5,800,0.0,0.2473289642142909,0.28732879761433106,0.861271676300578,1.0,0.9225,separability,False
0.1,20000,0.01,0.1,1.5,800,0.0,0.04539824856638472,0.08260473459615923,0.5487804878048781,1.0,0.76,separability,False
0.1,20000,0.05,0.1,1.5,800,0.0,0.24244064731348577,0.3031868062333619,0.7990155699841717,1.0,0.888,separability,False
0.1,20000,0.1,0.1,1.5,800,0.0,0.4109238419234294,0.47345526763375645,0.8682816485792247,1.0,0.924,separability,False
0.02,20000,0.01,0.1,1.5,800,0.0,0.08127688491983744,0.1665763907562777,0.484375,1.0,0.755,separability,False
0.02,20000,0.05,0.1,1.5,800,0.0,0.30040015142825205,0.4124281001403082,0.7307692307692307,1.0,0.8915,separability,False
0.02,20000,0.1,0.1,1.5,800,0.00125,0.4526100558056026,0.5644363768722787,0.8,1.0,0.927,separability,False
0.005,20000,0.01,0.1,1.5,800,0.0,0.05185567445562507,0.19283747320276917,0.2608695652173913,0.9975,0.755,separability,False
0.005,20000,0.05,0.1,1.5,800,0.00125,0.23833412823921785,0.43525048866984906,0.5454545454545454,1.0,0.893,separability,False
0.005,20000,0.1,0.1,1.5,800,0.0,0.3770805656514446,0.5805702133586135,0.6451612903225806,1.0,0.926,separability,False
0.001,20000,0.01,0.1,1.5,800,0.0,0.0018047923689241906,0.19923907694523865,0.0,0.0325,0.755,separability,False
0.001,20000,0.05,0.1,1.5,800,0.0,0.07026869876732852,0.4433062497499183,0.14285714285714285,0.70875,0.892,separability,False
0.001,20000,0.1,0.1,1.5,800,0.00125,0.16457033773325516,0.5913696949456777,0.2666666666666667,0.94,0.92625,separability,False
0.3,20000,0.01,0.1,2.5,800,0.0,0.018196792664071638,0.03330157883246394,0.545,1.0,0.755,separability,False
0.3,20000,0.05,0.1,2.5,800,0.0,0.1312146264723685,0.1659751637077084,0.7901606425702812,1.0,0.889,separability,False
0.3,20000,0.1,0.1,2.5,800,0.0,0.28314319867011106,0.32936742222855253,0.8592722955246175,1.0,0.92325,separability,False
0.1,20000,0.01,0.1,2.5,800,0.0,0.05473687182926932,0.09939289671713655,0.55,1.0,0.76,separability,False
0.1,20000,0.05,0.1,2.5,800,0.0,0.3745414293794937,0.4589108202052007,0.8166849615806806,1.0,0.89,separability,False
0.1,20000,0.1,0.1,2.5,800,0.0,0.6643991920183349,0.7315791934551654,0.9088739726652902,1.0,0.924,separability,False
0.02,20000,0.01,0.1,2.5,800,0.0,0.22865160505390414,0.3783114478166102,0.602524287306896,1.0,0.7575000000000001,separability,False
0.02,20000,0.05,0.1,2.5,800,0.0,0.6478046376092567,0.7565070085300348,0.8555092091007583,1.0,0.891,separability,False
0.02,20000,0.1,0.1,2.5,800,0.00125,0.7866908665148595,0.8691250621211057,0.9039897850308722,1.0,0.9257500000000001,separability,False
0.005,20000,0.01,0.1,2.5,800,0.0,0.2931603164046424,0.5254735829439737,0.5555555555555556,1.0,0.76,separability,False
0.005,20000,0.05,0.1,2.5,800,0.0,0.6010760503228855,0.7935962379326708,0.7564102564102564,1.0,0.893,separability,False
0.005,20000,0.1,0.1,2.5,800,0.005,0.7235037862548475,0.8831347524702094,0.8194444444444444,1.0,0.926,separability,False
0.001,20000,0.01,0.1,2.5,800,0.0,0.12848464522851952,0.5642378535374759,0.2222222222222222,0.89,0.755,separability,False
0.001,20000,0.05,0.1,2.5,800,0.0,0.36072454234327384,0.8052189910368449,0.44999999999999996,1.0,0.894,separability,False
0.001,20000,0.1,0.1,2.5,800,0.0,0.4775538919122063,0.8877703680004259,0.5384615384615384,1.0,0.926,separability,False
