protocol,dataset,model,n_misclassified,ci_evaluable,auroc_c1,auroc_c2,auroc_c3,auroc_scts,auroc_scts_c1c2,auroc_scts_c1c3,pearson_c1,pearson_c2,pearson_c3,pearson_scts,pearson_scts_c1c2,pearson_scts_c1c3,delta_pearson_vs_c1,delta_pearson_lo,delta_pearson_hi,delta_auroc_vs_c1,delta_auroc_lo,delta_auroc_hi,verdict_pearson,verdict_auroc
strict,nsl_kdd_v2,xgb_5class_cw,364,True,0.7516371207408943,0.5265330188679245,0.5583920796184947,0.6533472423802612,0.6494747390973806,0.7058992501209482,0.22675101804344752,0.0565882403799631,0.08003247772311647,0.12047096666192612,0.17620157364799277,0.11793987746771713,-0.1062800513815214,-0.17722836803153008,-0.03378577161962649,-0.09828987836063308,-0.12195529704117351,-0.07531977717150616,c1 better,c1 better
strict,nsl_kdd_v2,xgb_5class_smote,362,True,0.6720933857531305,0.5740790453592892,0.5159012972167859,0.6769146504096019,0.6663173937892932,0.6770510400249398,0.2368909727237321,0.12115496653659873,0.10169123680370765,0.10565280320703264,0.26423591262618307,0.10179316973844174,-0.13123816951669948,-0.20002041740832935,-0.0633444505345551,0.004821264656471369,-0.03092483351109415,0.04014401146823794,c1 better,no difference
strict,unsw_nb15_v2,dnn_5class_cw,429,True,0.8090782539118792,0.4052861907502888,0.8127360088831193,0.7602353863299572,0.681332386236064,0.8113031160316625,0.5549075353941822,-0.16786609359050644,0.552190132341318,0.4374121160899684,0.30352277685198237,0.5448807176924182,-0.11749541930421387,-0.15348915105893238,-0.08348311490735683,-0.04884286758192191,-0.06463234164106468,-0.033039909546293204,c1 better,c1 better
strict,unsw_nb15_v2,dnn_5class_smote,404,True,0.8263152867300153,0.46210088710213304,0.8303562529071699,0.8020154993687288,0.7211712572263937,0.8265769320220613,0.5774372981072504,-0.06231942882275249,0.5526483090967025,0.48285013715161434,0.3720188300805589,0.5529669471709701,-0.09458716095563607,-0.12679226953409975,-0.06270602253412161,-0.024299787361286462,-0.04038803337110744,-0.008278116406311226,c1 better,c1 better
strict,unsw_nb15_v2,rf_5class_cw,411,True,0.8367165264231924,0.46844212013433634,0.8275500972822921,0.7774858620532966,0.6755563266536957,0.8218866568351654,0.6028014470666035,-0.0070343592555550125,0.5501573483813061,0.4482407121358605,0.3262849304475831,0.5643914145847384,-0.15456073493074307,-0.1824715206975667,-0.1266047557203307,-0.05923066436989577,-0.07774785908509974,-0.04109754188209102,c1 better,c1 better
strict,unsw_nb15_v2,rf_5class_smote,408,True,0.8574601715686274,0.46215470985691576,0.849581428855326,0.8183417792792793,0.7369212042925278,0.8484967044250132,0.6299706851679591,-0.04690098887888019,0.5766982518179845,0.48457648783701135,0.3901508212759443,0.5813339655298566,-0.14539419733094772,-0.18098045392587944,-0.10945787237356858,-0.0391183922893481,-0.05518327281075629,-0.02292613284226228,c1 better,c1 better
strict,unsw_nb15_v2,xgb_5class_cw,342,True,0.8541788869336462,0.49881130130290263,0.8448737090954336,0.8163471622318207,0.7723675323059421,0.8443893421497005,0.5962997356025136,0.02450698979640359,0.5402350348294053,0.4801689438188472,0.41244115281351523,0.5497686632942367,-0.11613079178366637,-0.1472749156153983,-0.08611406551959412,-0.0378317247018255,-0.051689718358377136,-0.023730179389358355,c1 better,c1 better
strict,unsw_nb15_v2,xgb_5class_smote,374,True,0.8417526609830688,0.5292473219319677,0.8337846611197485,0.8102821581725923,0.7689408176863542,0.8297333891442141,0.5916151410336965,0.046108003303301275,0.5381906050676176,0.4990543441737152,0.43206015857103225,0.5499460190668013,-0.09256079685998131,-0.12257950904875252,-0.0630802532687004,-0.031470502810476475,-0.04704544985346333,-0.016060887564714924,c1 better,c1 better
v2,cic_ids2017_v2,dnn_5class_cw,222,True,0.814270247110864,0.6517085851918757,0.8814759489566687,0.8185171032214734,0.7523391000254753,0.8272858333912319,0.45424608920525605,0.2180711582318824,0.5303800360609292,0.48364782180282834,0.3459969663452495,0.4969717825995338,0.029401732597572283,0.008590388547876145,0.05038206663980473,0.004246856110609376,-0.011558121045333066,0.01926899424426599,composite better,no difference
v2,cic_ids2017_v2,dnn_5class_smote,33,True,0.872724139011626,0.4463194509730187,0.9432014039046097,0.875090094324841,0.6146783240888721,0.9426059979317477,0.3600323203376474,-0.041904146305449856,0.5336979203970017,0.47110022441444116,0.07559121277913577,0.5343851004877366,0.11106790407679373,0.010873071924865417,0.21694754851960793,0.002365955313214929,-0.051732958195132156,0.044942388884087976,composite better,no difference
