prevalence,n_cal,budget_frac,delta,strength,n_used,violation_rate,mean_bound,mean_empirical,median_tightness,frac_bound_above_zero,median_budget_overrun,split,weights,exceeds_nominal
0.02,20000,0.1,0.1,1.5,800,0.0,0.4452607069888825,0.5644363768722787,0.7869565217391304,1.0,0.9317500000000001,light future stage,"(0.45, 0.45, 0.1)",False
0.005,20000,0.01,0.1,1.5,800,0.0,0.04400478686500335,0.19283747320276917,0.21739130434782608,0.98625,0.78,light future stage,"(0.45, 0.45, 0.1)",False
0.005,20000,0.05,0.1,1.5,800,0.00125,0.22474188680907653,0.43525048866984906,0.5119115144639819,1.0,0.902,light future stage,"(0.45, 0.45, 0.1)",False
0.005,20000,0.1,0.1,1.5,800,0.0,0.361143214190077,0.5805702133586135,0.6181818181818182,1.0,0.9317500000000001,light future stage,"(0.45, 0.45, 0.1)",False
0.1,20000,0.01,0.1,1.5,800,0.0,0.03852407188075753,0.08260473459615923,0.4656778753480403,1.0,0.665,heavy future stage,"(0.05, 0.05, 0.9)",False
0.1,20000,0.05,0.1,1.5,800,0.0,0.2309517656147088,0.3031868062333619,0.7624993396155588,1.0,0.847,heavy future stage,"(0.05, 0.05, 0.9)",False
0.1,20000,0.1,0.1,1.5,800,0.0,0.399464248624057,0.47345526763375645,0.8437838937093276,1.0,0.8945,heavy future stage,"(0.05, 0.05, 0.9)",False
0.02,20000,0.01,0.1,1.5,800,0.0,0.069857054815103,0.1665763907562777,0.4172885572139303,1.0,0.665,heavy future stage,"(0.05, 0.05, 0.9)",False
0.02,20000,0.05,0.1,1.5,800,0.0,0.28660678081529073,0.4124281001403082,0.6948051948051948,1.0,0.849,heavy future stage,"(0.05, 0.05, 0.9)",False
0.02,20000,0.1,0.1,1.5,800,0.0,0.43887721688148995,0.5644363768722787,0.7756553453385001,1.0,0.8955,heavy future stage,"(0.05, 0.05, 0.9)",False
0.005,20000,0.01,0.1,1.5,800,0.0,0.04191753100396601,0.19283747320276917,0.20833333333333334,0.9875,0.665,heavy future stage,"(0.05, 0.05, 0.9)",False
0.005,20000,0.05,0.1,1.5,800,0.0,0.22108851595240808,0.43525048866984906,0.5096474953617811,1.0,0.848,heavy future stage,"(0.05, 0.05, 0.9)",False
0.005,20000,0.1,0.1,1.5,800,0.0,0.35816543152251434,0.5805702133586135,0.6140350877192983,1.0,0.896,heavy future stage,"(0.05, 0.05, 0.9)",False
0.1,20000,0.01,0.1,1.5,800,0.0,0.044319335455008116,0.08260473459615923,0.536144578313253,1.0,0.815,heavy count stage,"(0.8, 0.1, 0.1)",False
0.1,20000,0.05,0.1,1.5,800,0.0,0.23854702282041537,0.3031868062333619,0.7862838915470496,1.0,0.915,heavy count stage,"(0.8, 0.1, 0.1)",False
0.1,20000,0.1,0.1,1.5,800,0.0,0.40494899931352835,0.47345526763375645,0.8554907706348627,1.0,0.9415,heavy count stage,"(0.8, 0.1, 0.1)",False
0.02,20000,0.01,0.1,1.5,800,0.0,0.07307470118786379,0.1665763907562777,0.43449656750572085,1.0,0.81,heavy count stage,"(0.8, 0.1, 0.1)",False
0.02,20000,0.05,0.1,1.5,800,0.0,0.2830178616691688,0.4124281001403082,0.6875,1.0,0.916,heavy count stage,"(0.8, 0.1, 0.1)",False
0.02,20000,0.1,0.1,1.5,800,0.0,0.4323936658224801,0.5644363768722787,0.7645843461351483,1.0,0.9435,heavy count stage,"(0.8, 0.1, 0.1)",False
0.005,20000,0.01,0.1,1.5,800,0.0,0.035041435316654934,0.19283747320276917,0.17391304347826086,0.97375,0.815,heavy count stage,"(0.8, 0.1, 0.1)",False
0.005,20000,0.05,0.1,1.5,800,0.0,0.20189630553972576,0.43525048866984906,0.4588963963963964,1.0,0.9185000000000001,heavy count stage,"(0.8, 0.1, 0.1)",False
0.005,20000,0.1,0.1,1.5,800,0.0,0.33357516613911753,0.5805702133586135,0.5740740740740741,1.0,0.9435,heavy count stage,"(0.8, 0.1, 0.1)",False
0.1,20000,0.01,0.1,1.5,800,0.0,0.06324178298811103,0.08260473459615923,0.7664670658682635,1.0,1.005,"two-way, no count stage","(0.0, 0.5, 0.5)",False
0.1,20000,0.05,0.1,1.5,800,0.0,0.2696235614194378,0.3031868062333619,0.8892522663644847,1.0,1.001,"two-way, no count stage","(0.0, 0.5, 0.5)",False
0.1,20000,0.1,0.1,1.5,800,0.0,0.43645305449868765,0.47345526763375645,0.9221823001823406,1.0,1.001,"two-way, no count stage","(0.0, 0.5, 0.5)",False
0.02,20000,0.01,0.1,1.5,800,0.00125,0.10961136075027256,0.1665763907562777,0.6567164179104478,1.0,1.0,"two-way, no count stage","(0.0, 0.5, 0.5)",False
0.02,20000,0.05,0.1,1.5,800,0.00875,0.33159457835488254,0.4124281001403082,0.8037974683544304,1.0,1.005,"two-way, no count stage","(0.0, 0.5, 0.5)",False
0.02,20000,0.1,0.1,1.5,800,0.005,0.4805985485258965,0.5644363768722787,0.8512608603517694,1.0,1.0035,"two-way, no count stage","(0.0, 0.5, 0.5)",False
0.005,20000,0.01,0.1,1.5,800,0.0075,0.08009781965748103,0.19283747320276917,0.4,1.0,1.005,"two-way, no count stage","(0.0, 0.5, 0.5)",False
0.005,20000,0.05,0.1,1.5,800,0.0025,0.2743971106991421,0.43525048866984906,0.625,1.0,1.0034999999999998,"two-way, no count stage","(0.0, 0.5, 0.5)",False
0.005,20000,0.1,0.1,1.5,800,0.00625,0.41354536057382135,0.5805702133586135,0.7101018675721562,1.0,1.0037500000000001,"two-way, no count stage","(0.0, 0.5, 0.5)",False
