protocol,dataset,model,predicted_class_idx,predicted_class,mondrian_threshold,is_fallback,n_calib,cliff_fraction,signal_threshold,signal_cliff,signal_support,calib_health
v2,cic_ids2017_v2,rf_5class_cw,0,Normal,0.0011118676713278708,False,31768,9.443465122135482e-05,amber,green,green,amber
v2,cic_ids2017_v2,rf_5class_cw,1,DoS,0.011909181161902538,False,5161,0.0021313698895562877,amber,green,green,amber
v2,cic_ids2017_v2,rf_5class_cw,2,Probe,0.010208443054763872,False,2051,0.004388103364212579,amber,green,green,amber
v2,cic_ids2017_v2,rf_5class_cw,3,R2L,0.006021504765367003,True,27,0.037037037037037035,amber,green,red,red
v2,cic_ids2017_v2,rf_5class_cw,4,U2R,0.006021504765367003,True,0,,amber,red,red,red
v2,cic_ids2017_v2,xgb_5class_cw,0,Normal,0.0005363821983337402,False,31776,6.294058408862034e-05,red,green,green,red
v2,cic_ids2017_v2,xgb_5class_cw,1,DoS,0.008852005004882812,False,5156,0.0013576415826221878,amber,green,green,amber
v2,cic_ids2017_v2,xgb_5class_cw,2,Probe,0.025135695934295654,False,2049,0.003904343582235237,amber,green,green,amber
v2,cic_ids2017_v2,xgb_5class_cw,3,R2L,0.001264035701751709,True,25,0.04,amber,green,red,red
v2,cic_ids2017_v2,xgb_5class_cw,4,U2R,0.001264035701751709,True,1,0.0,amber,green,red,red
v2,cic_ids2017_v2,dnn_5class_cw,0,Normal,0.42870211601257324,False,32537,0.004794541598795218,green,green,green,green
v2,cic_ids2017_v2,dnn_5class_cw,1,DoS,0.48829638957977295,False,4005,0.00149812734082397,green,green,green,green
v2,cic_ids2017_v2,dnn_5class_cw,2,Probe,0.8320385217666626,False,2446,0.0012264922322158627,green,green,green,green
v2,cic_ids2017_v2,dnn_5class_cw,3,R2L,0.48829638957977295,True,16,0.0,green,green,red,red
v2,cic_ids2017_v2,dnn_5class_cw,4,U2R,0.48829638957977295,True,3,1.0,green,red,red,red
v2,cic_ids2017_v2,rf_5class_smote,0,Normal,0.0007323098584490761,False,31763,6.29663444888707e-05,red,green,green,red
v2,cic_ids2017_v2,rf_5class_smote,1,DoS,0.01846194316658034,False,5159,0.0005815080441946114,amber,green,green,amber
v2,cic_ids2017_v2,rf_5class_smote,2,Probe,0.004042268800085624,False,2051,0.0039005363237445147,amber,green,green,amber
v2,cic_ids2017_v2,rf_5class_smote,3,R2L,0.996134139969178,False,34,0.11764705882352941,amber,amber,amber,amber
v2,cic_ids2017_v2,rf_5class_smote,4,U2R,0.003867778123281762,True,0,,amber,red,red,red
