dataset,model,calibrator,target_risk,per_class_thresholds,coverage,achieved_risk,risk_met,thr_Normal,thr_DoS,thr_Probe,thr_R2L,thr_U2R,cov_Normal,cov_DoS,cov_Probe,cov_R2L,cov_U2R,risk_Normal,risk_DoS,risk_Probe,risk_R2L,risk_U2R
nsl_kdd_v2,xgb_5class_cw,raw,0.1,False,0.9923261178140526,0.2128201689687542,False,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.5618041787124254,0.9934989043097151,0.9960055308035028,0.9758179231863442,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.0354774024371433,0.17006802721088435,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,temperature,0.02,True,0.9401171043293116,0.20831367368123055,False,0.6861619608653815,0.9589716189064318,0.9389332789653453,0.997297752506864,0.5561800658357546,0.9780131482834186,0.924412352127823,0.7999051683262209,0.36666666666666664,0.9230769230769231,0.2958398685488087,0.035067309290344024,0.13930053349140487,0.012987012987012988,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,temperature,0.02,False,0.9923704755145494,0.21281065617736455,False,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.9934989043097151,0.9963127976647719,0.975343764817449,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.03546646106399383,0.1701507049100632,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,temperature,0.05,True,0.9457948899929027,0.2071569271175312,False,0.6861619608653815,0.9589716189064318,0.9389332789653453,0.5561800658357546,0.5561800658357546,0.9780131482834186,0.924412352127823,0.7999051683262209,0.9761904761904762,0.9230769230769231,0.2958398685488087,0.035067309290344024,0.13930053349140487,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,temperature,0.05,False,0.9923704755145494,0.21281065617736455,False,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.9934989043097151,0.9963127976647719,0.975343764817449,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.03546646106399383,0.1701507049100632,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,temperature,0.1,True,0.9457948899929027,0.2071569271175312,False,0.6861619608653815,0.9589716189064318,0.9389332789653453,0.5561800658357546,0.5561800658357546,0.9780131482834186,0.924412352127823,0.7999051683262209,0.9761904761904762,0.9230769230769231,0.2958398685488087,0.035067309290344024,0.13930053349140487,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,temperature,0.1,False,0.9923704755145494,0.21281065617736455,False,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.5561800658357546,0.9934989043097151,0.9963127976647719,0.975343764817449,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.03546646106399383,0.1701507049100632,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,perclass_isotonic_renorm,0.02,True,0.9721433640880057,0.21737543347326155,False,0.5518169582772544,0.9666666666666666,0.9610022226712467,0.5664939550949915,0.5518169582772544,0.9956366809686569,0.9571625978811608,0.8689722357525572,0.9166666666666666,0.8695652173913043,0.3108611496603608,0.034327879371190244,0.16031390134529147,0.0106951871657754,0.3
nsl_kdd_v2,xgb_5class_cw,perclass_isotonic_renorm,0.02,False,0.9952537260468417,0.21549226723715292,False,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.9956366809686569,0.9961615231076308,0.9936678032148076,0.9705882352941176,0.8695652173913043,0.3108611496603608,0.03545006165228114,0.16715686274509803,0.010101010101010102,0.3
nsl_kdd_v2,xgb_5class_cw,perclass_isotonic_renorm,0.05,True,0.9721433640880057,0.21737543347326155,False,0.5518169582772544,0.9666666666666666,0.9610022226712467,0.5664939550949915,0.5518169582772544,0.9956366809686569,0.9571625978811608,0.8689722357525572,0.9166666666666666,0.8695652173913043,0.3108611496603608,0.034327879371190244,0.16031390134529147,0.0106951871657754,0.3
nsl_kdd_v2,xgb_5class_cw,perclass_isotonic_renorm,0.05,False,0.9952537260468417,0.21549226723715292,False,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.9956366809686569,0.9961615231076308,0.9936678032148076,0.9705882352941176,0.8695652173913043,0.3108611496603608,0.03545006165228114,0.16715686274509803,0.010101010101010102,0.3
nsl_kdd_v2,xgb_5class_cw,perclass_isotonic_renorm,0.1,True,0.9721433640880057,0.21737543347326155,False,0.5518169582772544,0.9666666666666666,0.9610022226712467,0.5664939550949915,0.5518169582772544,0.9956366809686569,0.9571625978811608,0.8689722357525572,0.9166666666666666,0.8695652173913043,0.3108611496603608,0.034327879371190244,0.16031390134529147,0.0106951871657754,0.3
nsl_kdd_v2,xgb_5class_cw,perclass_isotonic_renorm,0.1,False,0.9952537260468417,0.21549226723715292,False,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.5518169582772544,0.9956366809686569,0.9961615231076308,0.9936678032148076,0.9705882352941176,0.8695652173913043,0.3108611496603608,0.03545006165228114,0.16715686274509803,0.010101010101010102,0.3
nsl_kdd_v2,xgb_5class_cw,toplabel_isotonic,0.02,True,0.940250177430802,0.20833136764636506,False,0.7000000001485628,0.9864864676850478,0.8750000755817617,0.997601919188465,0.6999998618041787,0.9781592403214024,0.924412352127823,0.7994310099573257,0.3761904761904762,0.9230769230769231,0.29594503771189606,0.035067309290344024,0.1387900355871886,0.012658227848101266,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,toplabel_isotonic,0.02,False,0.9923261178140526,0.2128201689687542,False,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.9934989043097151,0.9960055308035028,0.9758179231863442,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.0354774024371433,0.17006802721088435,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,toplabel_isotonic,0.05,True,0.9458392476933996,0.2071941096468602,False,0.7000000001485628,0.9864864676850478,0.8750000755817617,0.6999998618041787,0.6999998618041787,0.9781592403214024,0.924412352127823,0.7994310099573257,0.9761904761904762,0.9230769230769231,0.29594503771189606,0.035067309290344024,0.1387900355871886,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,toplabel_isotonic,0.05,False,0.9923261178140526,0.2128201689687542,False,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.9934989043097151,0.9960055308035028,0.9758179231863442,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.0354774024371433,0.17006802721088435,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,toplabel_isotonic,0.1,True,0.9458392476933996,0.2071941096468602,False,0.7000000001485628,0.9864864676850478,0.8750000755817617,0.6999998618041787,0.6999998618041787,0.9781592403214024,0.924412352127823,0.7994310099573257,0.9761904761904762,0.9230769230769231,0.29594503771189606,0.035067309290344024,0.1387900355871886,0.014634146341463415,0.2916666666666667
nsl_kdd_v2,xgb_5class_cw,toplabel_isotonic,0.1,False,0.9923261178140526,0.2128201689687542,False,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.6999998618041787,0.9934989043097151,0.9960055308035028,0.9758179231863442,0.9761904761904762,0.9230769230769231,0.30666862730681566,0.0354774024371433,0.17006802721088435,0.014634146341463415,0.2916666666666667
