dataset,model,true_class,class_idx,n,mean_scts,mean_c1,mean_c2,mean_c3,accuracy
unsw_nb15_v2,dnn_5class_cw,Normal,0,200,71.14140319824219,0.8523332476615906,0.5264731049537659,0.8338498473167419,0.635
unsw_nb15_v2,dnn_5class_cw,DoS,1,200,56.712684631347656,0.6011413335800171,0.5653413534164429,0.5512164831161499,0.02
unsw_nb15_v2,dnn_5class_cw,Probe,2,200,64.74779510498047,0.7996537685394287,0.4649348855018616,0.774576723575592,0.71
unsw_nb15_v2,dnn_5class_cw,R2L,3,200,60.73128890991211,0.6827190518379211,0.5272102952003479,0.6430051922798157,0.91
unsw_nb15_v2,dnn_5class_cw,U2R,4,200,59.57841873168945,0.7061280012130737,0.4624345898628235,0.6693442463874817,0.56
unsw_nb15_v2,rf_5class_smote,Normal,0,200,70.7387924194336,0.8604028224945068,0.5075702667236328,0.8423121571540833,0.715
unsw_nb15_v2,rf_5class_smote,DoS,1,200,53.042354583740234,0.5803964734077454,0.51317298412323,0.5260192155838013,0.015
unsw_nb15_v2,rf_5class_smote,Probe,2,200,61.710655212402344,0.8334119319915771,0.38210567831993103,0.8118234872817993,0.675
unsw_nb15_v2,rf_5class_smote,R2L,3,200,61.1561279296875,0.7058776617050171,0.5074174404144287,0.6677617430686951,0.89
unsw_nb15_v2,rf_5class_smote,U2R,4,200,57.61687088012695,0.7407676577568054,0.3780728578567505,0.707173228263855,0.645
unsw_nb15_v2,xgb_5class_smote,Normal,0,200,69.676513671875,0.8760911822319031,0.4634171426296234,0.8603768944740295,0.76
unsw_nb15_v2,xgb_5class_smote,DoS,1,200,51.02983474731445,0.6005903482437134,0.4277014136314392,0.5499369502067566,0.07
unsw_nb15_v2,xgb_5class_smote,Probe,2,200,64.20800018310547,0.8503620624542236,0.39643150568008423,0.8313848972320557,0.725
unsw_nb15_v2,xgb_5class_smote,R2L,3,200,60.228660583496094,0.7435113787651062,0.43640434741973877,0.7109832763671875,0.835
unsw_nb15_v2,xgb_5class_smote,U2R,4,200,57.743751525878906,0.7628332376480103,0.3597942292690277,0.7327556014060974,0.68
unsw_nb15_v2,dnn_5class_smote,Normal,0,200,70.2723159790039,0.8535975813865662,0.5062777996063232,0.833787202835083,0.715
unsw_nb15_v2,dnn_5class_smote,DoS,1,200,54.557743072509766,0.598319947719574,0.5159164667129517,0.5439671277999878,0.04
unsw_nb15_v2,dnn_5class_smote,Probe,2,200,64.57804870605469,0.8382084369659424,0.42501136660575867,0.816315770149231,0.73
unsw_nb15_v2,dnn_5class_smote,R2L,3,200,60.26531219482422,0.6902751922607422,0.5149333477020264,0.6483652591705322,0.865
unsw_nb15_v2,dnn_5class_smote,U2R,4,200,58.515602111816406,0.7247470021247864,0.41677388548851013,0.6875015497207642,0.655
cic_ids2017_v2,rf_5class_cw,Normal,0,354,72.26372528076172,0.9987116456031799,0.4249480962753296,0.9435504078865051,0.9971751412429378
cic_ids2017_v2,rf_5class_cw,DoS,1,230,38.38383865356445,0.9957687854766846,0.18995267152786255,0.5502122044563293,1.0
cic_ids2017_v2,rf_5class_cw,Probe,2,209,43.807228088378906,0.9961509704589844,0.16043727099895477,0.6776675581932068,1.0
cic_ids2017_v2,rf_5class_cw,R2L,3,200,7.491534233093262,0.9792709350585938,0.2215574085712433,0.016661694273352623,0.955
cic_ids2017_v2,rf_5class_cw,U2R,4,7,18.128864288330078,0.9849855303764343,0.37502697110176086,0.1273733526468277,0.0
cic_ids2017_v2,xgb_5class_cw,Normal,0,354,80.79972076416016,0.9999520778656006,0.5580615401268005,0.962049126625061,1.0
cic_ids2017_v2,xgb_5class_cw,DoS,1,230,58.94564437866211,0.9978549480438232,0.4892219603061676,0.7425051331520081,1.0
cic_ids2017_v2,xgb_5class_cw,Probe,2,209,48.03571701049805,0.9965884685516357,0.5157888531684875,0.5980496406555176,1.0
