model,true_class,partition,n,accuracy,mean_p_true,mean_p_max
rf_5class_smote,Probe,strict,1865,0.9978552278820375,0.9965739425245069,0.9978020239208882
rf_5class_smote,Probe,holdout,466,1.0,0.9993567808870314,0.9993567808870314
rf_5class_smote,Probe,test,2421,0.7042544403139198,0.7090740099327857,0.9230388857534064
rf_5class_smote,R2L,strict,159,0.9748427672955975,0.9783228496018559,0.9854533404067735
rf_5class_smote,R2L,holdout,40,0.9,0.9370668934472886,0.9629036826856325
rf_5class_smote,R2L,test,2885,0.012131715771230503,0.03994353104608465,0.9621979739814186
rf_5class_smote,U2R,strict,10,0.8,0.7968370737449733,0.9412136561283007
rf_5class_smote,U2R,test,67,0.05970149253731343,0.07800547045052061,0.926573025824836
xgb_5class_smote,Normal,strict,10775,0.9997215777262181,0.9993269443511963,0.9993923902511597
xgb_5class_smote,Normal,holdout,2694,0.9996288047512992,0.9990333318710327,0.9994044899940491
xgb_5class_smote,Normal,test,9711,0.972299454227165,0.9712449312210083,0.9979624152183533
xgb_5class_smote,DoS,strict,7349,0.9998639270649068,0.9998950362205505,0.9999462962150574
xgb_5class_smote,DoS,holdout,1837,0.9994556341861731,0.9995759129524231,0.9998316168785095
xgb_5class_smote,DoS,test,7460,0.8380697050938338,0.8234019875526428,0.9630729556083679
xgb_5class_smote,Probe,strict,1865,0.9967828418230563,0.9971387982368469,0.9982122182846069
xgb_5class_smote,Probe,holdout,466,1.0,0.9999972581863403,0.9999972581863403
xgb_5class_smote,Probe,test,2421,0.7050805452292441,0.7214394807815552,0.9105091094970703
xgb_5class_smote,R2L,strict,159,0.9937106918238994,0.9941968321800232,0.9995025992393494
xgb_5class_smote,R2L,holdout,40,0.95,0.9660434722900391,0.9839513897895813
xgb_5class_smote,R2L,test,2885,0.0779896013864818,0.09789321571588516,0.9669351577758789
xgb_5class_smote,U2R,strict,10,0.9,0.900000274181366,0.9999997019767761
xgb_5class_smote,U2R,test,67,0.26865671641791045,0.2365775853395462,0.914657473564148
dnn_5class_smote,Normal,strict,10775,0.9982366589327146,0.9950926303863525,0.995963990688324
dnn_5class_smote,Normal,holdout,2694,0.9962880475129918,0.9940894842147827,0.9957267045974731
dnn_5class_smote,Normal,test,9711,0.9709607661414891,0.9682797789573669,0.9940414428710938
dnn_5class_smote,DoS,strict,7349,0.9990474894543475,0.9967530965805054,0.9970753192901611
dnn_5class_smote,DoS,holdout,1837,0.9983669025585193,0.9975596070289612,0.9981439113616943
dnn_5class_smote,DoS,test,7460,0.8412868632707775,0.8280660510063171,0.9760494232177734
dnn_5class_smote,Probe,strict,1865,0.9839142091152815,0.9843998551368713,0.9899320602416992
dnn_5class_smote,Probe,holdout,466,0.9914163090128756,0.9917594194412231,0.9945905804634094
dnn_5class_smote,Probe,test,2421,0.6179264766625362,0.6222543716430664,0.9352304339408875
dnn_5class_smote,R2L,strict,159,0.9245283018867925,0.9181758761405945,0.9652683138847351
dnn_5class_smote,R2L,holdout,40,0.875,0.8627704381942749,0.9333239793777466
dnn_5class_smote,R2L,test,2885,0.048873483535528596,0.05556831136345863,0.9621477723121643
dnn_5class_smote,U2R,strict,10,0.7,0.7225413918495178,0.9405304193496704
dnn_5class_smote,U2R,test,67,0.2835820895522388,0.2992597818374634,0.9158128499984741
