dataset,variant,config,space_note,direction,k,n,FA,FA_lo,FA_hi,RA,RA_lo,RA_hi,RC,RC_lo,RC_hi,PRA,PRA_lo,PRA_hi,delta_RC_vs_original,delta_RC_lo,delta_RC_hi,RC_sig
nsl_kdd_v2,5class_cw,rf-dnn original,"prob vs prob, as in 06 (matched)",A->B,10,1000,0.4592,0.4516,0.4665,0.06830000000000001,0.06349999999999996,0.07329999999999995,-0.011296969696969698,-0.02746727272727273,0.004715757575757564,0.5022444444444445,0.4958666666666667,0.5086666666666667,,,,ns
nsl_kdd_v2,5class_smote,rf-dnn original,"prob vs prob, as in 06 (matched)",A->B,10,1000,0.4495,0.44239999999999996,0.45679999999999993,0.056499999999999995,0.05209999999999996,0.06099999999999996,0.03391515151515151,0.01778181818181818,0.05023030303030303,0.514711111111111,0.5087555555555556,0.5207999999999999,,,,POS
nsl_kdd_v2,5class_cw,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",A->B,10,1000,0.3865,0.38029999999999986,0.39269999999999994,0.046700000000000005,0.04259999999999998,0.05079999999999997,-0.18590303030303026,-0.2026063636363636,-0.16946666666666663,0.4354666666666667,0.42888888888888893,0.44202222222222215,,,,NEG
nsl_kdd_v2,5class_smote,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",A->B,10,1000,0.3889,0.3825999999999999,0.39509999999999984,0.0594,0.054899999999999956,0.06399999999999996,-0.06946666666666666,-0.08575818181818182,-0.053623939393939384,0.4781333333333333,0.4718222222222223,0.48426777777777796,,,,NEG
nsl_kdd_v2,5class_cw,xgb-dnn logit-matched,logit vs logit,A->B,10,1000,0.3725,0.3651999999999998,0.3797999999999998,0.0422,0.03839999999999998,0.04599999999999998,-0.21255757575757572,-0.22866757575757565,-0.19652121212121212,0.4251111111111111,0.41871111111111115,0.43144444444444446,-0.02665454545454545,-0.033684848484848484,-0.01976939393939394,NEG
nsl_kdd_v2,5class_smote,xgb-dnn logit-matched,logit vs logit,A->B,10,1000,0.4127,0.40579999999999994,0.4194999999999999,0.05280000000000001,0.04819999999999997,0.057399999999999965,-0.10493333333333332,-0.12143030303030301,-0.08911515151515154,0.4630666666666666,0.4567549999999999,0.4692222222222222,-0.03546666666666667,-0.0440730303030303,-0.027066666666666666,NEG
nsl_kdd_v2,5class_cw,rf-dnn logit-mismatched,prob vs logit (mismatch control),A->B,10,1000,0.43629999999999997,0.42829999999999996,0.4443999999999999,0.0465,0.04229999999999997,0.050899999999999966,-0.04293333333333334,-0.06035181818181819,-0.025103030303030315,0.4854888888888889,0.478755,0.492422777777778,,,,NEG
nsl_kdd_v2,5class_smote,rf-dnn logit-mismatched,prob vs logit (mismatch control),A->B,10,1000,0.46490000000000004,0.4570000000000001,0.47259999999999996,0.0595,0.05479999999999996,0.06419999999999997,0.008157575757575758,-0.0091760606060606,0.025418484848484843,0.5017333333333334,0.4953549999999998,0.5081555555555555,,,,ns
nsl_kdd_v2,5class_cw,dnn self prob-vs-logit,"same model, two output heads",A->B,10,1000,0.702,0.695,0.7088999999999999,0.17820000000000003,0.17040000000000008,0.1861,0.6452363636363635,0.6308596969696969,0.6594669696969697,0.7552888888888889,0.7487333333333329,0.7618444444444439,,,,POS
nsl_kdd_v2,5class_smote,dnn self prob-vs-logit,"same model, two output heads",A->B,10,1000,0.7128,0.7058000000000002,0.7196999999999999,0.14710000000000004,0.13920000000000005,0.15520000000000006,0.5809212121212121,0.5654545454545454,0.5963036363636363,0.7285777777777778,0.7218222222222219,0.735333333333333,,,,POS
nsl_kdd_v2,5class_cw,rf-xgb original,"prob vs logit, as in 06",A->B,15,1000,0.7864666666666666,0.7818666666666664,0.7910016666666665,0.12666666666666665,0.12059999999999987,0.13266666666666654,0.5961535714285715,0.5839924999999998,0.6082681249999998,0.7281428571428571,0.7229045238095235,0.7334002380952378,,,,POS
nsl_kdd_v2,5class_smote,rf-xgb original,"prob vs logit, as in 06",A->B,15,1000,0.7969333333333334,0.7931333333333332,0.8007999999999998,0.11853333333333334,0.11326666666666657,0.12393333333333323,0.625675,0.6145285714285712,0.6365180357142857,0.7373238095238095,0.7326380952380952,0.7419428571428568,,,,POS
nsl_kdd_v2,5class_cw,rf-dnn original,"prob vs prob, as in 06 (matched)",A->B,15,1000,0.5086666666666667,0.5034666666666667,0.5139999999999999,0.05546666666666667,0.05193333333333331,0.059199999999999954,0.06859642857142856,0.05627124999999999,0.08096080357142856,0.533552380952381,0.5286476190476191,0.5384857142857142,,,,POS
nsl_kdd_v2,5class_smote,rf-dnn original,"prob vs prob, as in 06 (matched)",A->B,15,1000,0.5449333333333334,0.5391333333333331,0.5505999999999998,0.049333333333333326,0.045998333333333315,0.052799999999999986,0.07344642857142855,0.06098169642857142,0.08574303571428571,0.5304285714285715,0.5257619047619048,0.5351333333333333,,,,POS
nsl_kdd_v2,5class_cw,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",A->B,15,1000,0.4860666666666667,0.4809333333333334,0.4913333333333333,0.04246666666666666,0.039200000000000006,0.04573333333333332,-0.11885357142857142,-0.1310074107142857,-0.10686321428571428,0.4614476190476191,0.4567904761904762,0.46602857142857124,,,,NEG
nsl_kdd_v2,5class_smote,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",A->B,15,1000,0.4912,0.48586666666666684,0.4965333333333335,0.05246666666666667,0.04899999999999999,0.056066666666666626,-0.02353571428571428,-0.03552160714285713,-0.011424553571428577,0.49745714285714293,0.4928476190476191,0.5020669047619049,,,,NEG
nsl_kdd_v2,5class_cw,xgb-dnn logit-matched,logit vs logit,A->B,15,1000,0.49073333333333335,0.4857333333333333,0.4958666666666668,0.03833333333333333,0.03540000000000001,0.04126666666666667,-0.16393928571428568,-0.17590750000000005,-0.15199625,0.4444952380952381,0.4398476190476189,0.44911428571428574,-0.04508571428571428,-0.05183249999999997,-0.038689285714285704,NEG
nsl_kdd_v2,5class_smote,xgb-dnn logit-matched,logit vs logit,A->B,15,1000,0.5320666666666666,0.5263333333333333,0.5378666666666666,0.04639999999999999,0.04286666666666666,0.04986666666666666,-0.04253928571428571,-0.05511821428571429,-0.03048571428571429,0.49052380952380953,0.48567619047619054,0.49524809523809527,-0.019003571428571425,-0.026657678571428572,-0.011552857142857151,NEG
nsl_kdd_v2,5class_cw,rf-dnn logit-mismatched,prob vs logit (mismatch control),A->B,15,1000,0.5103333333333333,0.5054,0.5153333333333333,0.039266666666666665,0.0362,0.04246666666666665,0.03544642857142856,0.022285267857142854,0.048739375,0.5175714285714287,0.5125714285714286,0.5226857142857143,,,,POS
nsl_kdd_v2,5class_smote,rf-dnn logit-mismatched,prob vs logit (mismatch control),A->B,15,1000,0.5824,0.5769999999999995,0.5877333333333329,0.05193333333333333,0.04833333333333331,0.05546666666666664,0.04989999999999999,0.037138839285714285,0.06284678571428569,0.5212380952380952,0.5162950000000001,0.5262385714285716,,,,POS
nsl_kdd_v2,5class_cw,dnn self prob-vs-logit,"same model, two output heads",A->B,15,1000,0.7428666666666666,0.7366666666666662,0.7489333333333325,0.13613333333333333,0.13059999999999988,0.14186666666666656,0.654225,0.642931339285714,0.6652965178571426,0.753247619047619,0.7481238095238093,0.7582954761904759,,,,POS
nsl_kdd_v2,5class_smote,dnn self prob-vs-logit,"same model, two output heads",A->B,15,1000,0.7359333333333332,0.729933333333333,0.7419999999999995,0.11433333333333331,0.10853333333333322,0.12033333333333318,0.6364071428571427,0.6247064285714288,0.6483573214285714,0.7451142857142856,0.7400092857142851,0.7503142857142853,,,,POS
nsl_kdd_v2,5class_cw,rf-xgb original,"prob vs logit, as in 06",B->A,5,1000,0.641,0.6305999999999997,0.6515999999999997,0.2542,0.24120000000000005,0.26720000000000005,0.5512999999999999,0.5303,0.5716999999999997,0.7182000000000001,0.7085,0.7278000000000002,,,,POS
nsl_kdd_v2,5class_smote,rf-xgb original,"prob vs logit, as in 06",B->A,5,1000,0.6516,0.6417999999999995,0.6615999999999993,0.21740000000000004,0.206,0.22920000000000007,0.45139999999999997,0.42579999999999996,0.47680249999999996,0.6837000000000001,0.6720999999999999,0.6953999999999999,,,,POS
nsl_kdd_v2,5class_cw,rf-dnn original,"prob vs prob, as in 06 (matched)",B->A,5,1000,0.3612,0.3510000000000002,0.37140000000000034,0.0884,0.08119999999999993,0.09619999999999994,0.18569999999999998,0.1548975,0.21659999999999993,0.5751000000000001,0.5621000000000002,0.588,,,,POS
nsl_kdd_v2,5class_smote,rf-dnn original,"prob vs prob, as in 06 (matched)",B->A,5,1000,0.3056000000000001,0.2956000000000001,0.31560000000000016,0.06720000000000001,0.06039999999999999,0.07399999999999997,0.0943,0.06479749999999998,0.12299999999999996,0.5422,0.5305,0.5538,,,,POS
nsl_kdd_v2,5class_cw,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",B->A,5,1000,0.28900000000000003,0.279,0.2988000000000002,0.056,0.049999999999999996,0.06199999999999999,0.2249,0.19640000000000005,0.25379999999999997,0.5921000000000001,0.5805,0.6039999999999999,,,,POS
nsl_kdd_v2,5class_smote,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",B->A,5,1000,0.3032,0.2930000000000001,0.31340000000000007,0.07180000000000002,0.06479999999999998,0.07899999999999997,0.12089999999999998,0.0910975,0.15139999999999998,0.5564,0.5447000000000001,0.5684999999999998,,,,POS
nsl_kdd_v2,5class_cw,xgb-dnn logit-matched,logit vs logit,B->A,5,1000,0.26,0.24939999999999998,0.27080000000000004,0.045399999999999996,0.04,0.05099999999999999,0.33359999999999995,0.30650000000000005,0.36079999999999984,0.6271,0.6156999999999998,0.6385025,0.10869999999999999,0.07789999999999998,0.14020249999999998,POS
nsl_kdd_v2,5class_smote,xgb-dnn logit-matched,logit vs logit,B->A,5,1000,0.29580000000000006,0.2864000000000001,0.3050000000000001,0.06340000000000001,0.05659999999999999,0.07019999999999998,0.20109999999999997,0.17090000000000002,0.23180000000000003,0.5788,0.5663,0.5915999999999997,0.0802,0.04209499999999998,0.11899999999999994,POS
nsl_kdd_v2,5class_cw,rf-dnn logit-mismatched,prob vs logit (mismatch control),B->A,5,1000,0.3088000000000001,0.2980000000000001,0.3198000000000002,0.0548,0.0482,0.06159999999999999,0.22719999999999999,0.196,0.25800249999999997,0.5877,0.5748974999999998,0.6005,,,,POS
nsl_kdd_v2,5class_smote,rf-dnn logit-mismatched,prob vs logit (mismatch control),B->A,5,1000,0.32500000000000007,0.31520000000000026,0.3348000000000002,0.0792,0.07199999999999995,0.08699999999999992,0.21789999999999998,0.18780000000000002,0.24790249999999997,0.5851,0.5725,0.5977999999999999,,,,POS
nsl_kdd_v2,5class_cw,dnn self prob-vs-logit,"same model, two output heads",B->A,5,1000,0.68,0.669,0.6911999999999998,0.2834000000000001,0.26980000000000015,0.29720000000000024,0.6014999999999999,0.5814975,0.6215,0.7515,0.7418974999999999,0.7610999999999998,,,,POS
nsl_kdd_v2,5class_smote,dnn self prob-vs-logit,"same model, two output heads",B->A,5,1000,0.6484,0.6375999999999997,0.6589999999999997,0.22340000000000004,0.21019499999999997,0.23660000000000003,0.531,0.5073000000000001,0.5535025000000001,0.7212000000000001,0.7107000000000002,0.7311,,,,POS
nsl_kdd_v2,5class_cw,rf-xgb original,"prob vs logit, as in 06",B->A,10,1000,0.7189,0.7125,0.725,0.1606,0.15280000000000002,0.16840000000000005,0.5612727272727273,0.5489448484848486,0.5740124242424242,0.7137777777777777,0.7084222222222217,0.7193111111111107,,,,POS
nsl_kdd_v2,5class_smote,rf-xgb original,"prob vs logit, as in 06",B->A,10,1000,0.7578,0.7527000000000001,0.7630025000000004,0.14640000000000003,0.13950000000000007,0.15360000000000004,0.49984242424242414,0.48399969696969686,0.5153457575757575,0.6906888888888889,0.6842444444444442,0.696978333333333,,,,POS
nsl_kdd_v2,5class_cw,rf-dnn original,"prob vs prob, as in 06 (matched)",B->A,10,1000,0.4592,0.4516,0.4665,0.06830000000000001,0.06349999999999996,0.07329999999999995,0.3062787878787879,0.2869451515151515,0.325480303030303,0.615511111111111,0.6080666666666666,0.6229561111111113,,,,POS
nsl_kdd_v2,5class_smote,rf-dnn original,"prob vs prob, as in 06 (matched)",B->A,10,1000,0.4495,0.44239999999999996,0.45679999999999993,0.056499999999999995,0.05209999999999996,0.06099999999999996,0.18631515151515152,0.1661818181818182,0.20657030303030305,0.5726222222222223,0.5652438888888885,0.5801111111111109,,,,POS
nsl_kdd_v2,5class_cw,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",B->A,10,1000,0.3865,0.38029999999999986,0.39269999999999994,0.046700000000000005,0.04259999999999998,0.05079999999999997,0.32141818181818177,0.30334424242424246,0.3393212121212121,0.6204,0.6133555555555554,0.6273338888888889,,,,POS
nsl_kdd_v2,5class_smote,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",B->A,10,1000,0.3889,0.3825999999999999,0.39509999999999984,0.0594,0.054899999999999956,0.06399999999999996,0.18088484848484848,0.1607151515151515,0.2009818181818182,0.5726444444444444,0.5653333333333332,0.5799555555555556,,,,POS
nsl_kdd_v2,5class_cw,xgb-dnn logit-matched,logit vs logit,B->A,10,1000,0.3725,0.3651999999999998,0.3797999999999998,0.0422,0.03839999999999998,0.04599999999999998,0.28888484848484847,0.2715636363636363,0.30546696969696974,0.6049111111111111,0.5983333333333335,0.6113555555555555,-0.03253333333333333,-0.05404969696969695,-0.011212121212121217,POS
nsl_kdd_v2,5class_smote,xgb-dnn logit-matched,logit vs logit,B->A,10,1000,0.4127,0.40579999999999994,0.4194999999999999,0.05280000000000001,0.04819999999999997,0.057399999999999965,0.24829090909090906,0.2308969696969697,0.26557606060606054,0.5911333333333333,0.5844666666666665,0.5978444444444442,0.06740606060606061,0.044557272727272744,0.09043666666666669,POS
nsl_kdd_v2,5class_cw,rf-dnn logit-mismatched,prob vs logit (mismatch control),B->A,10,1000,0.43629999999999997,0.42829999999999996,0.4443999999999999,0.0465,0.04229999999999997,0.050899999999999966,0.26263030303030305,0.2436360606060606,0.2816372727272727,0.5942888888888889,0.5871111111111108,0.6014444444444444,,,,POS
nsl_kdd_v2,5class_smote,rf-dnn logit-mismatched,prob vs logit (mismatch control),B->A,10,1000,0.46490000000000004,0.4570000000000001,0.47259999999999996,0.0595,0.05479999999999996,0.06419999999999997,0.28909090909090907,0.27056939393939394,0.30780636363636354,0.6063555555555555,0.599111111111111,0.6135999999999998,,,,POS
nsl_kdd_v2,5class_cw,dnn self prob-vs-logit,"same model, two output heads",B->A,10,1000,0.702,0.695,0.7088999999999999,0.17820000000000003,0.17040000000000008,0.1861,0.601660606060606,0.5867024242424244,0.6169457575757575,0.7357333333333334,0.7291327777777772,0.7424666666666663,,,,POS
nsl_kdd_v2,5class_smote,dnn self prob-vs-logit,"same model, two output heads",B->A,10,1000,0.7128,0.7058000000000002,0.7196999999999999,0.14710000000000004,0.13920000000000005,0.15520000000000006,0.5835515151515152,0.5682054545454543,0.5986063636363634,0.7283111111111111,0.7217999999999999,0.7346227777777777,,,,POS
nsl_kdd_v2,5class_cw,rf-xgb original,"prob vs logit, as in 06",B->A,15,1000,0.7864666666666666,0.7818666666666664,0.7910016666666665,0.12666666666666665,0.12059999999999987,0.13266666666666654,0.6237392857142856,0.6148855357142857,0.6323430357142852,0.7359809523809524,0.7321999999999997,0.7396478571428567,,,,POS
nsl_kdd_v2,5class_smote,rf-xgb original,"prob vs logit, as in 06",B->A,15,1000,0.7969333333333334,0.7931333333333332,0.8007999999999998,0.11853333333333334,0.11326666666666657,0.12393333333333323,0.6163142857142856,0.6086320535714286,0.6237643750000001,0.7313809523809522,0.7281045238095234,0.7346571428571423,,,,POS
nsl_kdd_v2,5class_cw,rf-dnn original,"prob vs prob, as in 06 (matched)",B->A,15,1000,0.5086666666666667,0.5034666666666667,0.5139999999999999,0.05546666666666667,0.05193333333333331,0.059199999999999954,0.3502071428571428,0.3356641071428571,0.3648151785714285,0.6283333333333333,0.6227523809523808,0.6339142857142854,,,,POS
nsl_kdd_v2,5class_smote,rf-dnn original,"prob vs prob, as in 06 (matched)",B->A,15,1000,0.5449333333333334,0.5391333333333331,0.5505999999999998,0.049333333333333326,0.045998333333333315,0.052799999999999986,0.26009999999999994,0.24445321428571423,0.27579294642857133,0.5957523809523809,0.5900759523809523,0.601504761904762,,,,POS
nsl_kdd_v2,5class_cw,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",B->A,15,1000,0.4860666666666667,0.4809333333333334,0.4913333333333333,0.04246666666666666,0.039200000000000006,0.04573333333333332,0.3529571428571428,0.3391642857142857,0.3664999999999999,0.6287142857142857,0.6234378571428569,0.6339333333333333,,,,POS
nsl_kdd_v2,5class_smote,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",B->A,15,1000,0.4912,0.48586666666666684,0.4965333333333335,0.05246666666666667,0.04899999999999999,0.056066666666666626,0.2205285714285714,0.20543169642857134,0.2354753571428571,0.582047619047619,0.5765333333333333,0.5875333333333332,,,,POS
nsl_kdd_v2,5class_cw,xgb-dnn logit-matched,logit vs logit,B->A,15,1000,0.49073333333333335,0.4857333333333333,0.4958666666666668,0.03833333333333333,0.03540000000000001,0.04126666666666667,0.3207749999999999,0.3068425892857143,0.3344789285714285,0.6168666666666666,0.611647619047619,0.6220571428571425,-0.03218214285714285,-0.04810374999999999,-0.01621428571428572,POS
nsl_kdd_v2,5class_smote,xgb-dnn logit-matched,logit vs logit,B->A,15,1000,0.5320666666666666,0.5263333333333333,0.5378666666666666,0.04639999999999999,0.04286666666666666,0.04986666666666666,0.27855714285714284,0.264835625,0.2920608035714284,0.5997904761904761,0.5947521428571428,0.6047999999999999,0.058028571428571415,0.04059999999999999,0.07551848214285713,POS
nsl_kdd_v2,5class_cw,rf-dnn logit-mismatched,prob vs logit (mismatch control),B->A,15,1000,0.5103333333333333,0.5054,0.5153333333333333,0.039266666666666665,0.0362,0.04246666666666665,0.32948214285714283,0.31349616071428577,0.34487151785714276,0.6183999999999998,0.6123809523809522,0.6242095238095238,,,,POS
nsl_kdd_v2,5class_smote,rf-dnn logit-mismatched,prob vs logit (mismatch control),B->A,15,1000,0.5824,0.5769999999999995,0.5877333333333329,0.05193333333333333,0.04833333333333331,0.05546666666666664,0.3245785714285714,0.30974267857142856,0.3396291071428571,0.6170476190476191,0.6113614285714286,0.6227528571428571,,,,POS
nsl_kdd_v2,5class_cw,dnn self prob-vs-logit,"same model, two output heads",B->A,15,1000,0.7428666666666666,0.7366666666666662,0.7489333333333325,0.13613333333333333,0.13059999999999988,0.14186666666666656,0.622675,0.61125,0.6338859821428571,0.7379809523809523,0.7329999999999995,0.7429049999999998,,,,POS
nsl_kdd_v2,5class_smote,dnn self prob-vs-logit,"same model, two output heads",B->A,15,1000,0.7359333333333332,0.729933333333333,0.7419999999999995,0.11433333333333331,0.10853333333333322,0.12033333333333318,0.6313071428571427,0.6194281250000001,0.6427928571428569,0.7414285714285714,0.7363904761904756,0.74647619047619,,,,POS
unsw_nb15_v2,5class_cw,rf-xgb original,"prob vs logit, as in 06",A->B,5,1000,0.6366,0.6251999999999999,0.6481999999999997,0.16360000000000002,0.15339999999999993,0.1738,0.4463,0.42169999999999996,0.4706025000000001,0.6781,0.6673975,0.6888000000000002,,,,POS
unsw_nb15_v2,5class_smote,rf-xgb original,"prob vs logit, as in 06",A->B,5,1000,0.649,0.6381999999999995,0.6597999999999998,0.2058,0.19340000000000002,0.21859999999999996,0.4890999999999999,0.4629,0.5152,0.7016,0.6900000000000002,0.7132025000000001,,,,POS
unsw_nb15_v2,5class_cw,rf-dnn original,"prob vs prob, as in 06 (matched)",A->B,5,1000,0.385,0.37320000000000025,0.3966000000000003,0.086,0.07879999999999995,0.09359999999999993,0.1137,0.0851,0.14209999999999998,0.5481,0.5363974999999996,0.5596999999999999,,,,POS
unsw_nb15_v2,5class_smote,rf-dnn original,"prob vs prob, as in 06 (matched)",A->B,5,1000,0.37540000000000007,0.36420000000000013,0.38660000000000017,0.097,0.08879999999999995,0.10539999999999995,0.2007,0.16979999999999998,0.23089999999999997,0.5864,0.5732974999999998,0.5992000000000001,,,,POS
unsw_nb15_v2,5class_cw,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",A->B,5,1000,0.415,0.4049999999999999,0.4248,0.1356,0.12539999999999993,0.14559999999999992,0.20399999999999996,0.17299999999999993,0.2341999999999999,0.5839,0.5711,0.5963,,,,POS
unsw_nb15_v2,5class_smote,xgb-dnn original,"logit vs prob, as in 06 (mismatched)",A->B,5,1000,0.4282,0.4184000000000002,0.4380000000000001,0.1146,0.10559999999999994,0.12339999999999993,0.2358,0.2083974999999999,0.26289999999999997,0.5954,0.5842,0.6065,,,,POS
unsw_nb15_v2,5class_cw,xgb-dnn logit-matched,logit vs logit,A->B,5,1000,0.42860000000000004,0.418,0.4388050000000001,0.14120000000000002,0.1315999999999999,0.15079999999999996,0.20629999999999996,0.17419749999999998,0.23690000000000003,0.5827,0.5694975,0.5954999999999999,0.0022999999999999982,-0.010999999999999992,0.015399999999999997,POS
unsw_nb15_v2,5class_smote,xgb-dnn logit-matched,logit vs logit,A->B,5,1000,0.42240000000000005,0.41180000000000017,0.4330000000000001,0.1252,0.1163949999999999,0.13379999999999995,0.22089999999999999,0.18999999999999997,0.25079999999999997,0.5864000000000001,0.5735999999999999,0.5989000000000002,-0.014899999999999998,-0.0344,0.004699999999999999,POS
unsw_nb15_v2,5class_cw,rf-dnn logit-mismatched,prob vs logit (mismatch control),A->B,5,1000,0.37900000000000006,0.3667950000000002,0.39100000000000035,0.09140000000000001,0.08239999999999997,0.10059999999999994,0.1608,0.13049999999999995,0.19019999999999992,0.5703,0.558,0.5824999999999999,,,,POS
unsw_nb15_v2,5class_smote,rf-dnn logit-mismatched,prob vs logit (mismatch control),A->B,5,1000,0.35860000000000003,0.34680000000000016,0.37040000000000034,0.1118,0.10259999999999994,0.12119999999999993,0.20989999999999998,0.17839999999999998,0.24109999999999993,0.5892000000000001,0.576,0.6023,,,,POS
unsw_nb15_v2,5class_cw,dnn self prob-vs-logit,"same model, two output heads",A->B,5,1000,0.7238,0.7121999999999996,0.7349999999999997,0.3396,0.3254000000000002,0.3540000000000001,0.636,0.6132000000000003,0.6579000000000004,0.7736000000000001,0.7628000000000004,0.7841000000000004,,,,POS
unsw_nb15_v2,5class_smote,dnn self prob-vs-logit,"same model, two output heads",A->B,5,1000,0.6858,0.6737999999999998,0.6973999999999999,0.295,0.28060000000000007,0.3100000000000001,0.5681999999999998,0.5441975,0.5922025000000001,0.7447999999999999,0.7339000000000001,0.7558,,,,POS
unsw_nb15_v2,5class_cw,rf-xgb original,"prob vs logit, as in 06",A->B,10,1000,0.6989,0.6921999999999997,0.7056999999999997,0.11910000000000003,0.11279999999999998,0.1253025,0.5363272727272727,0.5186778787878787,0.553890909090909,0.7067555555555555,0.6992666666666664,0.7140666666666661,,,,POS
unsw_nb15_v2,5class_smote,rf-xgb original,"prob vs logit, as in 06",A->B,10,1000,0.7011,0.6937999999999998,0.7081999999999996,0.13620000000000002,0.12919999999999998,0.14340000000000006,0.5758060606060605,0.5587993939393939,0.5925460606060606,0.7254222222222222,0.7181999999999998,0.7325783333333331,,,,POS
