dataset,model,class,metric,point,lo_95,hi_95,n
unsw_nb15_v2,rf_5class_cw,U2R,brier_per_class,0.006060491696293943,0.005654536477674469,0.006484473312258707,63461
unsw_nb15_v2,rf_5class_cw,OVERALL,ece_top_label,0.05648641249948648,0.05347512136072891,0.05949361180425904,63461
unsw_nb15_v2,xgb_5class_cw,Normal,brier_per_class,0.11578698808380904,0.114124807479465,0.11752192690297045,63461
unsw_nb15_v2,xgb_5class_cw,DoS,brier_per_class,0.04630945691468085,0.045216059496813156,0.04740614515600935,63461
unsw_nb15_v2,xgb_5class_cw,Probe,brier_per_class,0.02826164190572509,0.02728306573500023,0.02921356830262771,63461
unsw_nb15_v2,xgb_5class_cw,R2L,brier_per_class,0.15341225143743042,0.15187013758870835,0.15505527482397158,63461
unsw_nb15_v2,xgb_5class_cw,U2R,brier_per_class,0.006930158400546599,0.006438866183331434,0.007425856015293202,63461
unsw_nb15_v2,xgb_5class_cw,OVERALL,ece_top_label,0.08567953830743173,0.08268314399472888,0.08870771563244172,63461
unsw_nb15_v2,dnn_5class_cw,Normal,brier_per_class,0.1286940732276912,0.12692734775326675,0.130480146962504,63461
unsw_nb15_v2,dnn_5class_cw,DoS,brier_per_class,0.04628806042996554,0.04523916410254271,0.04731423137386109,63461
unsw_nb15_v2,dnn_5class_cw,Probe,brier_per_class,0.03436341402568349,0.033248073768476764,0.035455451131667315,63461
unsw_nb15_v2,dnn_5class_cw,R2L,brier_per_class,0.1533684164683416,0.15204227785951901,0.1547508985999074,63461
unsw_nb15_v2,dnn_5class_cw,U2R,brier_per_class,0.00920416344457825,0.008706565773836753,0.009747519518444898,63461
unsw_nb15_v2,dnn_5class_cw,OVERALL,ece_top_label,0.10797364704510601,0.10507643512277999,0.11098185655312694,63461
unsw_nb15_v2,rf_5class_smote,Normal,brier_per_class,0.11530052100734434,0.11364905166136155,0.11702784245043178,63461
unsw_nb15_v2,rf_5class_smote,DoS,brier_per_class,0.0456978572550076,0.044670546134529324,0.04675752994620611,63461
unsw_nb15_v2,rf_5class_smote,Probe,brier_per_class,0.028789000482813097,0.02780981770157271,0.02972936830591481,63461
unsw_nb15_v2,rf_5class_smote,R2L,brier_per_class,0.1485045078179489,0.14699861954883575,0.1500542866579283,63461
unsw_nb15_v2,rf_5class_smote,U2R,brier_per_class,0.007386044420284827,0.006892834794960385,0.007888431349950783,63461
unsw_nb15_v2,rf_5class_smote,OVERALL,ece_top_label,0.06114767793059337,0.05794351879778352,0.06425794058817332,63461
unsw_nb15_v2,xgb_5class_smote,Normal,brier_per_class,0.11216683169884865,0.11042220602548138,0.11389365551087277,63461
unsw_nb15_v2,xgb_5class_smote,DoS,brier_per_class,0.04576527574183265,0.04471658336361675,0.04681675315246991,63461
unsw_nb15_v2,xgb_5class_smote,Probe,brier_per_class,0.02912194843261073,0.02812488282649723,0.03009555443197431,63461
unsw_nb15_v2,xgb_5class_smote,R2L,brier_per_class,0.1501885600726922,0.1485569761835186,0.15187362694466142,63461
unsw_nb15_v2,xgb_5class_smote,U2R,brier_per_class,0.006098645465794986,0.0056455371534103885,0.006544145828820723,63461
unsw_nb15_v2,xgb_5class_smote,OVERALL,ece_top_label,0.08485131351757796,0.08183238235580972,0.08776878905677704,63461
unsw_nb15_v2,dnn_5class_smote,Normal,brier_per_class,0.12182146773800508,0.12006760901146182,0.12357996105522842,63461
unsw_nb15_v2,dnn_5class_smote,DoS,brier_per_class,0.04729179917307504,0.04621429405882959,0.048350137915004955,63461
unsw_nb15_v2,dnn_5class_smote,Probe,brier_per_class,0.03228698462464264,0.031174951562951463,0.0333152759109208,63461
unsw_nb15_v2,dnn_5class_smote,R2L,brier_per_class,0.15026801145205082,0.14887244149426263,0.1516041481547824,63461
unsw_nb15_v2,dnn_5class_smote,U2R,brier_per_class,0.00863552267603807,0.008131564122451565,0.009130261529257918,63461
unsw_nb15_v2,dnn_5class_smote,OVERALL,ece_top_label,0.07409900070378861,0.07109901032593668,0.07695707361195682,63461
cic_ids2017_v2,rf_5class_cw,Normal,brier_per_class,0.0014857849150687703,0.0011630574947342426,0.0018552061283968729,40007
cic_ids2017_v2,rf_5class_cw,DoS,brier_per_class,0.0007132606639197176,0.0004915786532437355,0.0009476072394532356,40007
cic_ids2017_v2,rf_5class_cw,Probe,brier_per_class,0.0003482303747730852,0.00020766125933743083,0.0005259938446959714,40007
cic_ids2017_v2,rf_5class_cw,R2L,brier_per_class,0.000304905103549988,0.00018114950209881028,0.0004499440178972888,40007
cic_ids2017_v2,rf_5class_cw,U2R,brier_per_class,0.00017075854835514387,7.112666739212e-05,0.0003174048100067364,40007
cic_ids2017_v2,rf_5class_cw,OVERALL,ece_top_label,0.00040143721593608904,0.0001867693570071011,0.000783036553216133,40007
cic_ids2017_v2,xgb_5class_cw,Normal,brier_per_class,0.0008386541596399395,0.0006074358755818175,0.0011236437434416005,40007
cic_ids2017_v2,xgb_5class_cw,DoS,brier_per_class,0.00034347353861663833,0.000193507974865672,0.0005284420613697516,40007
cic_ids2017_v2,xgb_5class_cw,Probe,brier_per_class,0.0002995610347121478,0.00015652383171302605,0.00047580122905188725,40007
cic_ids2017_v2,xgb_5class_cw,R2L,brier_per_class,0.0002295161712320764,0.00011928758167335893,0.00036461807000414206,40007
cic_ids2017_v2,xgb_5class_cw,U2R,brier_per_class,1.5464322860329413e-05,6.283953512518524e-12,4.6386992031170046e-05,40007
cic_ids2017_v2,xgb_5class_cw,OVERALL,ece_top_label,0.00032018557822960977,0.0001583476867401898,0.0006422185095838039,40007
cic_ids2017_v2,dnn_5class_cw,Normal,brier_per_class,0.03681808395124049,0.035555434580519955,0.03820597683746638,40007
cic_ids2017_v2,dnn_5class_cw,DoS,brier_per_class,0.02389260311290071,0.02292515924587559,0.024829979089499896,40007
cic_ids2017_v2,dnn_5class_cw,Probe,brier_per_class,0.009071401997792957,0.008362125879034149,0.009812023920388047,40007
cic_ids2017_v2,dnn_5class_cw,R2L,brier_per_class,0.003868859575357054,0.003423830366756573,0.004333576959001936,40007
cic_ids2017_v2,dnn_5class_cw,U2R,brier_per_class,0.0002013318805671311,7.499723400573124e-05,0.00035263975846721197,40007
cic_ids2017_v2,dnn_5class_cw,OVERALL,ece_top_label,0.0026750228150948636,0.0013962310922974912,0.00465942959055789,40007
cic_ids2017_v2,rf_5class_smote,Normal,brier_per_class,0.0013392908830742096,0.0010451648370247823,0.0016773412608851945,40007
cic_ids2017_v2,rf_5class_smote,DoS,brier_per_class,0.00061431875131209,0.00042221765415159803,0.0008311135716861064,40007
cic_ids2017_v2,rf_5class_smote,Probe,brier_per_class,0.0003477761300920239,0.0002051030764780878,0.0005310624283742246,40007
