dataset,model,rep,method,level,selected_frac_of_window,realised_recall,has_recall_lower_bound
nsl_kdd_v2,rf_5class_cw,8,dual_threshold_deferral,0.2,0.24103974449964513,0.42075648640200064,False
nsl_kdd_v2,rf_5class_cw,8,conformal_selection_fdr,0.05,0.5849893541518808,0.9423257267896218,False
nsl_kdd_v2,rf_5class_cw,8,conformal_selection_fdr,0.1,0.6143541518807665,0.9785870584557674,False
nsl_kdd_v2,rf_5class_cw,8,conformal_selection_fdr,0.2,0.6308552164655784,0.9845264145045327,False
nsl_kdd_v2,rf_5class_cw,9,fixed_risk_crc,0.05,0.24396735273243436,0.42582760774515926,False
nsl_kdd_v2,rf_5class_cw,9,dual_threshold_deferral,0.05,0.24396735273243436,0.42582760774515926,False
nsl_kdd_v2,rf_5class_cw,9,fixed_risk_crc,0.1,0.24396735273243436,0.42582760774515926,False
nsl_kdd_v2,rf_5class_cw,9,dual_threshold_deferral,0.1,0.24396735273243436,0.42582760774515926,False
nsl_kdd_v2,rf_5class_cw,9,fixed_risk_crc,0.2,0.24396735273243436,0.42582760774515926,False
nsl_kdd_v2,rf_5class_cw,9,dual_threshold_deferral,0.2,0.24396735273243436,0.42582760774515926,False
nsl_kdd_v2,rf_5class_cw,9,conformal_selection_fdr,0.05,0.5866749467707594,0.9425359150530919,False
nsl_kdd_v2,rf_5class_cw,9,conformal_selection_fdr,0.1,0.6154187366926899,0.9793878825733916,False
nsl_kdd_v2,rf_5class_cw,9,conformal_selection_fdr,0.2,0.6308552164655784,0.9851655215490318,False
nsl_kdd_v2,rf_5class_cw,10,fixed_risk_crc,0.05,0.23846699787083037,0.4158230805170534,False
nsl_kdd_v2,rf_5class_cw,10,dual_threshold_deferral,0.05,0.23846699787083037,0.4158230805170534,False
nsl_kdd_v2,rf_5class_cw,10,fixed_risk_crc,0.1,0.23846699787083037,0.4158230805170534,False
nsl_kdd_v2,rf_5class_cw,10,dual_threshold_deferral,0.1,0.23846699787083037,0.4158230805170534,False
nsl_kdd_v2,rf_5class_cw,10,fixed_risk_crc,0.2,0.23846699787083037,0.4158230805170534,False
nsl_kdd_v2,rf_5class_cw,10,dual_threshold_deferral,0.2,0.23846699787083037,0.4158230805170534,False
nsl_kdd_v2,rf_5class_cw,10,conformal_selection_fdr,0.05,0.5857877927608233,0.9417536209313191,False
nsl_kdd_v2,rf_5class_cw,10,conformal_selection_fdr,0.1,0.6145315826827538,0.9783522815760785,False
nsl_kdd_v2,rf_5class_cw,10,conformal_selection_fdr,0.2,0.6295244854506742,0.9834916679644915,False
nsl_kdd_v2,rf_5class_cw,11,fixed_risk_crc,0.05,0.24059616749467708,0.4225639416287463,False
nsl_kdd_v2,rf_5class_cw,11,dual_threshold_deferral,0.05,0.24059616749467708,0.4225639416287463,False
nsl_kdd_v2,rf_5class_cw,11,fixed_risk_crc,0.1,0.24059616749467708,0.4225639416287463,False
nsl_kdd_v2,rf_5class_cw,11,dual_threshold_deferral,0.1,0.24059616749467708,0.4225639416287463,False
nsl_kdd_v2,rf_5class_cw,11,fixed_risk_crc,0.2,0.24059616749467708,0.4225639416287463,False
nsl_kdd_v2,rf_5class_cw,11,dual_threshold_deferral,0.2,0.24059616749467708,0.4225639416287463,False
nsl_kdd_v2,rf_5class_cw,11,conformal_selection_fdr,0.05,0.5847232079489,0.945237721638161,False
nsl_kdd_v2,rf_5class_cw,11,conformal_selection_fdr,0.1,0.613999290276792,0.9810136513415973,False
nsl_kdd_v2,rf_5class_cw,11,conformal_selection_fdr,0.2,0.6290809084457062,0.9868193943197866,False
nsl_kdd_v2,rf_5class_cw,12,fixed_risk_crc,0.05,0.23882185947480483,0.41697877652933835,False
nsl_kdd_v2,rf_5class_cw,12,dual_threshold_deferral,0.05,0.23882185947480483,0.41697877652933835,False
nsl_kdd_v2,rf_5class_cw,12,fixed_risk_crc,0.1,0.23882185947480483,0.41697877652933835,False
nsl_kdd_v2,rf_5class_cw,12,dual_threshold_deferral,0.1,0.23882185947480483,0.41697877652933835,False
nsl_kdd_v2,rf_5class_cw,12,fixed_risk_crc,0.2,0.23882185947480483,0.41697877652933835,False
nsl_kdd_v2,rf_5class_cw,12,dual_threshold_deferral,0.2,0.23882185947480483,0.41697877652933835,False
nsl_kdd_v2,rf_5class_cw,12,conformal_selection_fdr,0.05,0.5804648687012065,0.9327403245942572,False
nsl_kdd_v2,rf_5class_cw,12,conformal_selection_fdr,0.1,0.6084102200141944,0.9709737827715356,False
nsl_kdd_v2,rf_5class_cw,12,conformal_selection_fdr,0.2,0.6349361249112846,0.9859550561797753,False
nsl_kdd_v2,rf_5class_cw,13,fixed_risk_crc,0.05,0.23899929027679206,0.4186737566468564,False
nsl_kdd_v2,rf_5class_cw,13,dual_threshold_deferral,0.05,0.23899929027679206,0.4186737566468564,False
nsl_kdd_v2,rf_5class_cw,13,fixed_risk_crc,0.1,0.23899929027679206,0.4186737566468564,False
nsl_kdd_v2,rf_5class_cw,13,dual_threshold_deferral,0.1,0.23899929027679206,0.4186737566468564,False
nsl_kdd_v2,rf_5class_cw,13,fixed_risk_crc,0.2,0.23899929027679206,0.4186737566468564,False
nsl_kdd_v2,rf_5class_cw,13,dual_threshold_deferral,0.2,0.23899929027679206,0.4186737566468564,False
nsl_kdd_v2,rf_5class_cw,13,conformal_selection_fdr,0.05,0.5848119233498935,0.940569283703472,False
