dataset,exchangeability,model,score,budget_frac,scope,n,bound_three_stage,bound_two_stage,bound_calibration_only,empirical_recall_at_k,empirical_recall_at_tau,n_selected_at_tau,k,n_attacks_dep,violation_rate_three_stage,violation_rate_two_stage,violation_rate_calibration_only
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.05,R2L,200,0.0,0.0,2.0513108727479998e-06,0.0,0.0,872.295,1000.0,112.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.05,all_attacks,200,0.20207503219228762,0.23180588804498245,0.2430254769377883,0.2539750703521417,0.22152777756699485,872.295,1000.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.1,DoS,200,0.5051753243472275,0.522585159950745,0.5384078594126046,0.54358498359924,0.5298766407000288,1850.425,2000.0,2687.5,0.0,0.005,0.255
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.1,Probe,200,0.2721950008080684,0.3558082712122221,0.3795657577234956,0.42835760984936544,0.3498728801319422,1850.425,2000.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.1,R2L,200,0.0,0.0,0.0001984492523563405,0.000577896332303239,0.00044513235714795996,1850.425,2000.0,112.0,0.0,0.0,0.035
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.1,all_attacks,200,0.4333207929829993,0.4688529951085087,0.48196391841353536,0.4950048197266891,0.4631049254036402,1850.425,2000.0,3925.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.2,DoS,200,0.6908133431653026,0.7165493712157314,0.7306629477761625,0.7386429466524049,0.7138555784304986,3774.145,4001.0,2687.5,0.0,0.005,0.2
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.2,Probe,200,0.9775970654556546,0.9792379889580252,0.9853488998418958,0.9939435188226317,0.9939435188226317,3774.145,4001.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.2,R2L,200,0.373095922360291,0.46114048869811397,0.5384780611363227,0.6478337755393154,0.5782216764490414,3774.145,4001.0,112.0,0.0,0.0,0.04
cic_ids2017_v2,exchangeable,dnn_5class_cw,calibrated_attack_prob,0.2,all_attacks,200,0.7704049250598201,0.7905279805246576,0.8010461662394839,0.809086402442658,0.7900902418044042,3774.145,4001.0,3925.0,0.0,0.0,0.105
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.01,DoS,200,0.0,0.000652689097585061,0.00176647365579512,0.0025014435879263837,0.000974953705107897,173.975,200.0,2687.5,0.0,0.065,0.28
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.01,Probe,200,0.0,0.0,0.0,0.0,0.0,173.975,200.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.01,R2L,200,0.0,0.0,0.00021988647979758702,0.004034874400531472,0.004034874400531472,173.975,200.0,112.0,0.0,0.0,0.215
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.01,all_attacks,200,1.2696800406295e-06,0.0007100094711320799,0.0016683370322993635,0.0026325835335257804,0.0015777578144600055,173.975,200.0,3925.0,0.0,0.045,0.19
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.02,DoS,200,0.004814981181932515,0.005585620587447893,0.008361384737923435,0.013995209863447964,0.013995209863447964,350.18,400.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.02,Probe,200,0.0,0.0,0.0,0.0,0.0,350.18,400.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.02,R2L,200,0.0,0.0,0.00021988647979758702,0.004034874400531472,0.004034874400531472,350.18,400.0,112.0,0.0,0.0,0.215
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.02,all_attacks,200,0.0038007702271320005,0.004371332932571076,0.006372045945871367,0.010498977038865874,0.010498977038865874,350.18,400.0,3925.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.05,DoS,200,0.007200780891133604,0.008136987754994534,0.01139157184242525,0.01936439948672465,0.01853824406273853,933.795,1000.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.05,Probe,200,0.0,0.0,0.0002803469376838871,0.0,0.0,933.795,1000.0,1125.0,0.0,0.0,0.9
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.05,R2L,200,0.0,0.0,0.00021988647979758702,0.004034874400531472,0.004034874400531472,933.795,1000.0,112.0,0.0,0.0,0.215
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.05,all_attacks,200,0.005595055490185288,0.006452245417310788,0.008833436696399322,0.01417369703324826,0.013608526185281612,933.795,1000.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.1,DoS,200,0.010959746339327857,0.01231978102166738,0.01620522854990428,0.025200326171187108,0.025127600865947737,1975.135,2000.0,2687.5,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.1,Probe,200,0.0008270782724148346,0.0012477072711296335,0.003997167546044691,0.0052200058127438295,0.0052200058127438295,1975.135,2000.0,1125.0,0.005,0.005,0.265
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.1,R2L,200,0.0,0.0,0.0011463325789913014,0.004034874400531472,0.004034874400531472,1975.135,2000.0,112.0,0.0,0.0,0.4
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.1,all_attacks,200,0.009854296622259628,0.01088200381620314,0.013869766918731359,0.01966266307023802,0.019613028654297825,1975.135,2000.0,3925.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.2,DoS,200,0.01928921870709693,0.023322728703736858,0.028484410822505534,0.036834645961627055,0.03502319777492983,3878.31,4001.0,2687.5,0.0,0.0,0.015
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.2,Probe,200,0.0008270782724148346,0.0012477072711296335,0.003997167546044691,0.0052200058127438295,0.0052200058127438295,3878.31,4001.0,1125.0,0.005,0.005,0.265
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.2,R2L,200,0.00042264416223618094,0.0018098634878241085,0.017193673502174028,0.027254314780574586,0.025983941870235075,3878.31,4001.0,112.0,0.0,0.0,0.23
cic_ids2017_v2,exchangeable,dnn_5class_cw,rare_weighted,0.2,all_attacks,200,0.016470259032959556,0.019409507203237406,0.02328308901807095,0.02828084755509372,0.027005081019812707,3878.31,4001.0,3925.0,0.0,0.0,0.03
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.01,DoS,200,0.040832152124877,0.05845434721030848,0.06625472939893903,0.07365855948790488,0.05831966849684224,158.765,200.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.01,Probe,200,0.0,0.0,0.0,0.0,0.0,158.765,200.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.01,R2L,200,0.0,0.0,0.0,0.0,0.0,158.765,200.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.01,all_attacks,200,0.027875274986165873,0.03989202403942977,0.045276339592858234,0.050670026216948924,0.04017441277377285,158.765,200.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.02,DoS,200,0.10035846918815651,0.12679867646296616,0.13765085724061954,0.14754020162823878,0.12057018772282654,327.19,400.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.02,Probe,200,0.0,0.0,0.0,0.0,0.0,327.19,400.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.02,R2L,200,0.0,0.0,0.0,0.0,0.0,327.19,400.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.02,all_attacks,200,0.06838616797181502,0.08641075557234731,0.09400452471579403,0.10122903453863501,0.08277558265313266,327.19,400.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.05,DoS,200,0.29777565826555485,0.34140298683735104,0.3565579388182272,0.370849341079489,0.3175043129598995,856.77,1000.0,2687.5,0.0,0.0,0.01
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.05,Probe,200,0.0,0.0,0.0,0.0,0.0,856.77,1000.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.05,R2L,200,0.0,0.0,0.0,0.0,0.0,856.77,1000.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.05,all_attacks,200,0.20222372891485854,0.23188588091448167,0.24310812470206525,0.2540449410727031,0.2175492999940494,856.77,1000.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.1,DoS,200,0.5018049911883172,0.5068474783034902,0.5226987280668447,0.5292155591039972,0.5282488821662841,1857.975,2000.0,2687.5,0.0,0.005,0.21
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.1,Probe,200,0.2718230660216829,0.36110074773341144,0.3849207859417642,0.4303965374852368,0.3506189746720183,1857.975,2000.0,1125.0,0.0,0.0,0.02
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.1,R2L,200,0.0,0.0,0.0,0.0,0.0,1857.975,2000.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.1,all_attacks,200,0.43089988033525445,0.4596705132532617,0.4727684624671224,0.4857004811233422,0.4621844208432395,1857.975,2000.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.2,DoS,200,0.6519171923772004,0.6829114045580275,0.6975140183501708,0.7065970575809963,0.6741004686487071,3771.57,4001.0,2687.5,0.0,0.075,0.32
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.2,Probe,200,0.9775748722911709,0.9792114928675518,0.9853266449852757,0.9939349640928427,0.9939349640928427,3771.57,4001.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.2,R2L,200,0.5740752890855225,0.7727276626084241,0.8322373840619933,0.9209619939517644,0.7476467654196302,3771.57,4001.0,112.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_cw,uncalibrated,0.2,all_attacks,200,0.7491201947634347,0.7751848240441908,0.7859840724602195,0.7947073846490071,0.7675401741394242,3771.57,4001.0,3925.0,0.0,0.02,0.245
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.01,DoS,200,0.034171665972866576,0.047661594727857116,0.05457968534630045,0.056944465924878854,0.04738128220890018,166.335,200.0,2687.5,0.01,0.01,0.05
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.01,Probe,200,0.014810313171188161,0.022338545029262354,0.030204167414701315,0.037746833161636684,0.03133309844015382,166.335,200.0,1125.0,0.01,0.015,0.08
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.01,R2L,200,0.0017825214094136517,0.003145161748246249,0.01682311737085848,0.03931873308167936,0.03259770874785559,166.335,200.0,112.0,0.01,0.01,0.125
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.01,all_attacks,200,0.031606265093682605,0.04352162875129743,0.048974617505881994,0.0509284220953453,0.042358906774030765,166.335,200.0,3925.0,0.01,0.01,0.01
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.02,DoS,200,0.0788518450455582,0.09908741406454231,0.1087993550587422,0.11420284324894477,0.09729770655232958,341.11,400.0,2687.5,0.01,0.01,0.035
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.02,Probe,200,0.03860312876497409,0.051043925115210546,0.06255184670858367,0.07498329675602328,0.06412455577591747,341.11,400.0,1125.0,0.01,0.01,0.075
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.02,R2L,200,0.006779545929336511,0.015088053283382608,0.042092657139206985,0.0765257782249207,0.06557806477743315,341.11,400.0,112.0,0.005,0.02,0.11
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.02,all_attacks,200,0.07169516972332521,0.08956135121226812,0.09720003457049094,0.10185685172294347,0.08686810315951292,341.11,400.0,3925.0,0.01,0.01,0.01
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.05,DoS,200,0.22722523790134244,0.2606831427552156,0.27476484726493405,0.2856866017265434,0.25338255537418736,886.895,1000.0,2687.5,0.01,0.01,0.02
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.05,Probe,200,0.12549389971194064,0.1476780078327385,0.16566406034495212,0.18652731712055473,0.16537777377587595,886.895,1000.0,1125.0,0.005,0.01,0.08
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.05,R2L,200,0.0584434206640677,0.08166454845297615,0.13215225668710612,0.19570693835678468,0.17359191170502708,886.895,1000.0,112.0,0.005,0.005,0.08
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.05,all_attacks,200,0.20414111615219444,0.23361348387835637,0.24484545826158352,0.25464343456648303,0.22584050203263953,886.895,1000.0,3925.0,0.01,0.01,0.01
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.1,DoS,200,0.49621833329075726,0.543808110000345,0.5595626345012019,0.5718761260207675,0.5216357737356949,1824.39,2000.0,2687.5,0.01,0.01,0.11
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.1,Probe,200,0.2881638043129565,0.3196100472022666,0.3427970143649107,0.37142832281430366,0.338921092322097,1824.39,2000.0,1125.0,0.005,0.005,0.05
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.1,R2L,200,0.18850309406085408,0.2266269226529764,0.2971184748345201,0.39529080928019666,0.3594825648175313,1824.39,2000.0,112.0,0.0,0.0,0.025
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.1,all_attacks,200,0.441901710727509,0.48336720922561,0.49648230034364127,0.5092806999430962,0.4645310550181588,1824.39,2000.0,3925.0,0.01,0.01,0.015
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.2,DoS,200,0.904118747539051,0.9335183744037665,0.9410748368026935,0.9503765571529245,0.9223175635543471,3768.525,4001.0,2687.5,0.0,0.005,0.115
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.2,Probe,200,0.8981265406268336,0.9454166108477239,0.9555554594021796,0.961008410830157,0.9133388169445169,3768.525,4001.0,1125.0,0.0,0.065,0.325
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.2,R2L,200,0.809264029572808,0.8319994273074536,0.88347265160463,0.96058760906956,0.96058760906956,3768.525,4001.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,calibrated_attack_prob,0.2,all_attacks,200,0.9090092030422889,0.9407485280723549,0.9467058154800172,0.9532976108386318,0.9203909438040767,3768.525,4001.0,3925.0,0.0,0.045,0.195
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.01,DoS,200,0.0014068010994135467,0.0021752041139278485,0.004057029554060381,0.007848690839280421,0.007532323929283663,146.2,200.0,2687.5,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.01,Probe,200,0.0,0.0,0.0,0.0,0.0,146.2,200.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.01,R2L,200,0.0,0.0,0.0,0.0,0.0,146.2,200.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.01,all_attacks,200,0.0011611602410078429,0.001717786451738332,0.0030802186172076557,0.00591391894309224,0.005697469842102988,146.2,200.0,3925.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.02,DoS,200,0.0026865551089711157,0.0035417906127495104,0.005831986718047982,0.01036609692697459,0.009888679967406598,305.695,400.0,2687.5,0.0,0.0,0.015
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.02,Probe,200,0.0,0.0,0.0,0.0,0.0,305.695,400.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.02,R2L,200,0.03900895062639973,0.44562510842133535,0.5127535262558763,0.8134067925556802,0.09790606186116955,305.695,400.0,112.0,0.0,0.01,0.015
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.02,all_attacks,200,0.0038722743199727672,0.01572170408102329,0.019209444809514354,0.030601229825242274,0.010071999342377586,305.695,400.0,3925.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.05,DoS,200,0.009774066804434173,0.012727116442784443,0.01664435161665406,0.019958062639480845,0.017304147049452465,815.745,1000.0,2687.5,0.0,0.01,0.14
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.05,Probe,200,0.006369228544689135,0.054069327714423424,0.06395319378082123,0.13502999464760182,0.012659149300123679,815.745,1000.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.05,R2L,200,0.8970869982342167,0.9084494482098167,0.9453837350800158,0.9875223450883772,0.9874321378555451,815.745,1000.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.05,all_attacks,200,0.033140552598911105,0.05187803889912429,0.05791001029443893,0.08081005580629295,0.04396526445060135,815.745,1000.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.1,DoS,200,0.014715217699180747,0.015685406687240423,0.019852439289179128,0.02285970547209628,0.0227098718778601,1762.97,2000.0,2687.5,0.005,0.01,0.165
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.1,Probe,200,0.7030905411540855,0.822669846401033,0.8402571623099427,0.8995359361773849,0.7546769394656603,1762.97,2000.0,1125.0,0.0,0.0,0.005
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.1,R2L,200,0.8978569745869228,0.9093127113244059,0.9459907444238597,0.9880297313985079,0.9878415887103652,1762.97,2000.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.1,all_attacks,200,0.2349405660953963,0.267211194329502,0.2789465637107058,0.3017244504675622,0.260166817537777,1762.97,2000.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.2,DoS,200,0.44577609391255074,0.5260884204090658,0.5419013692393637,0.5962967615590895,0.484059602418933,3699.49,4001.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.2,Probe,200,0.9937684615676323,0.994662457303408,0.99733876715575,1.0,1.0,3699.49,4001.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.2,R2L,200,0.9145814464291243,0.9247799441274518,0.9580345198607041,0.9919924774279781,0.9919924774279781,3699.49,4001.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,rare_weighted,0.2,all_attacks,200,0.6161004806485618,0.6724205240977738,0.6846410283525519,0.7232473169532017,0.6464056965699614,3699.49,4001.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.01,DoS,200,0.040832152124877,0.05845434721030848,0.06625472939893903,0.07405109466913215,0.05725631814215768,154.9,200.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.01,Probe,200,0.0,0.0,0.0,0.0,0.0,154.9,200.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.01,R2L,200,0.0,0.0,0.0,0.0,0.0,154.9,200.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.01,all_attacks,200,0.027875274986165873,0.03989202403942977,0.045276339592858234,0.050938635511355974,0.039447025186062044,154.9,200.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.02,DoS,200,0.10017785272058752,0.12661990558639366,0.13746542704712325,0.14848747448621558,0.1203620387564186,324.46,400.0,2687.5,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.02,Probe,200,0.0,0.0,0.0,0.0,0.0,324.46,400.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.02,R2L,200,0.0,0.0,0.0,0.0,0.0,324.46,400.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.02,all_attacks,200,0.06838616797181502,0.08641075557234731,0.09400452471579403,0.101877271022712,0.08263249541826687,324.46,400.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.05,DoS,200,0.29739963603625563,0.34116086580269034,0.35631194412770745,0.37158990763313104,0.3156601526396259,849.545,1000.0,2687.5,0.0,0.0,0.01
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.05,Probe,200,0.0,0.0,0.0,0.0,0.0,849.545,1000.0,1125.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.05,R2L,200,0.0,0.0,0.0,0.0,0.0,849.545,1000.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.05,all_attacks,200,0.20222372891485854,0.23197616799719714,0.24319876360304069,0.2546931775567801,0.2163625126290193,849.545,1000.0,3925.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.1,DoS,200,0.5890588845650875,0.5979038415508332,0.6133792079706251,0.6179745932737675,0.6124945347997427,1824.65,2000.0,2687.5,0.0,0.01,0.265
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.1,Probe,200,0.10305626903608625,0.20210839205521597,0.22232905062053837,0.2654644680312471,0.14361349643473714,1824.65,2000.0,1125.0,0.0,0.0,0.03
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.1,R2L,200,0.025692219752500977,0.17220175594302142,0.23632057613525959,0.3537768355478119,0.14152155985992967,1824.65,2000.0,112.0,0.0,0.01,0.095
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.1,all_attacks,200,0.4410090545294117,0.48288261029087165,0.49599566617624646,0.5093863551135602,0.46469452523225074,1824.65,2000.0,3925.0,0.0,0.0,0.01
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.2,DoS,200,0.8976305159162392,0.9129722944114639,0.9215889617126513,0.9296679030972622,0.9162544167880502,3771.475,4001.0,2687.5,0.0,0.04,0.235
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.2,Probe,200,0.9102905121160341,0.9926253130597581,0.9958447774296342,0.9989010873464056,0.9243801062047549,3771.475,4001.0,1125.0,0.0,0.01,0.015
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.2,R2L,200,0.8077249277356284,0.8318076965692438,0.8834593683701704,0.96058760906956,0.96058760906956,3771.475,4001.0,112.0,0.0,0.0,0.0
cic_ids2017_v2,exchangeable,dnn_5class_smote,uncalibrated,0.2,all_attacks,200,0.9077933390874072,0.9373891183531646,0.9434966609013058,0.9500339419405939,0.9193797063955934,3771.475,4001.0,3925.0,0.0,0.035,0.18
cic_ids2017_v2,exchangeable,rf_5class_cw,calibrated_attack_prob,0.01,DoS,200,0.024863532248300988,0.036522630409268224,0.0428388130561047,0.0495443998299991,0.037546397940175405,151.285,200.0,2687.5,0.0,0.0,0.02
cic_ids2017_v2,exchangeable,rf_5class_cw,calibrated_attack_prob,0.01,Probe,200,0.024615633431835645,0.03770146573991803,0.0479287288607291,0.05908296739526243,0.04448997176802552,151.285,200.0,1125.0,0.0,0.005,0.05
